time,lwe_thickness,hotspot,tp,t2m,Cropland area,Population,EVI,discharge
April 2002,0.6905401647730364,USHighPlain,0.512315270935904,0.768472906403941,0.7044334975369457,0.9753694581280788,0.1477832512315271,0.09852216748768473
May 2002,0.7445663829284033,USHighPlain,0.3645320197044335,0.29556650246305394,0.5369458128078818,0.9655172413793104,0.13793103448275862,0.029556650246305417
June 2002,999.0,USHighPlain,0.18226600985221675,0.8571428571428572,0.4088669950738916,0.9605911330049262,0.08866995073891626,0.0049261083743842365
July 2002,999.0,USHighPlain,0.28078817733990147,0.6650246305418719,0.3054187192118227,0.9507389162561577,0.009852216748768473,0.024630541871921183
August 2002,0.4492246409649898,USHighPlain,0.6650246305418719,0.4827586206896552,0.22660098522167488,0.940886699507389,0.029556650246305417,0.2660098522167488
September 2002,0.5202924881030904,USHighPlain,0.04926108374384237,0.4975369458128079,0.12807881773399016,0.9359605911330049,0.2660098522167488,0.26108374384236455
October 2002,0.507394384165678,USHighPlain,0.7536945812807881,0.009852216748768473,0.034482758620689655,0.9261083743842364,0.5714285714285714,0.6354679802955665
November 2002,0.7308277105766744,USHighPlain,0.2857142857142857,0.270935960591133,0.014778325123152709,0.9162561576354681,0.4630541871921182,0.7044334975369456
December 2002,0.5764830504866254,USHighPlain,0.5911330049261084,0.6551724137931034,0.0,0.9064039408866995,0.8719211822660099,0.5123152709359606
January 2003,0.46370158324726773,USHighPlain,0.4433497536945813,0.6699507389162561,0.0049261083743842365,0.896551724137931,0.8423645320197046,0.37438423645320196
February 2003,0.41829635581890673,USHighPlain,0.6945812807881774,0.15763546798029557,0.009852216748768473,0.8866995073891626,0.7931034482758621,0.4482758620689655
March 2003,0.5073888706760763,USHighPlain,0.5862068965517238,0.45812807881773887,0.019704433497536946,0.8768472906403941,0.7487684729064039,0.39408866995073893
April 2003,0.4597832148410106,USHighPlain,0.7832512315270936,0.7192118226600985,0.024630541871921183,0.8719211822660078,0.9507389162561577,0.41379310344827586
May 2003,0.4285714285714286,USHighPlain,0.5270935960591133,0.33497536945812806,0.029556650246305417,0.8620689655172414,0.9852216748768473,0.3497536945812808
June 2003,999.0,USHighPlain,0.9655172413793104,0.059113300492610835,0.03940886699507389,0.8522167487684729,0.7783251231527087,0.3694581280788177
July 2003,0.3940333425791242,USHighPlain,0.07389162561576355,0.7536945812807881,0.04433497536945813,0.8423645320197047,0.12807881773398996,0.21182266009852216
August 2003,0.27915240186688145,USHighPlain,0.5320197044334976,0.7931034482758621,0.09359605911330049,0.8374384236453202,0.034482758620689655,0.1330049261083744
September 2003,0.3869160015001978,USHighPlain,0.14285714285714285,0.10837438423645321,0.15763546798029557,0.8275862068965517,0.26108374384236455,0.5960591133004918
October 2003,0.3153112703952052,USHighPlain,0.014778325123152709,0.7438423645320197,0.18226600985221675,0.8177339901477833,0.6059113300492607,0.17733990147783252
November 2003,0.33336357306951586,USHighPlain,0.5714285714285714,0.33990147783251234,0.2019704433497537,0.8078817733990148,0.6305418719211823,0.2019704433497537
December 2003,0.2937344870206387,USHighPlain,0.5960591133004922,0.7832512315270936,0.23645320197044334,0.8029556650246306,0.7733990147783252,0.28078817733990147
January 2004,0.3247881600194226,USHighPlain,0.7044334975369457,0.6059113300492611,0.28078817733990147,0.7931034482758621,0.6896551724137931,0.2561576354679803
February 2004,0.30279361785379594,USHighPlain,0.8226600985221669,0.15270935960591134,0.33004926108374383,0.7832512315270936,0.16748768472906403,0.32019704433497537
March 2004,0.3504361222731131,USHighPlain,0.7586206896551724,0.9359605911330049,0.3842364532019705,0.7783251231526779,0.5172413793103449,0.7438423645320197
April 2004,0.3448372064388466,USHighPlain,0.6403940886699507,0.6403940886699507,0.45320197044334976,0.7635467980295566,0.768472906403941,0.1724137931034483
May 2004,0.22122258186356028,USHighPlain,0.14778325123152344,0.8522167487684729,0.5123152709359606,0.7586206896551724,0.5320197044334976,0.08374384236453201
June 2004,0.2708868378240873,USHighPlain,0.9458128078817734,0.09359605911330042,0.58128078817734,0.7487684729064038,0.12315270935960591,0.1625615763546798
July 2004,0.44824482730841164,USHighPlain,0.9211822660098522,0.08374384236453201,0.6748768472906407,0.7389162561576355,0.6699507389162561,0.6945812807881774
August 2004,0.46815556803543557,USHighPlain,0.38916256157635454,0.054187192118226604,0.8078817733990148,0.729064039408867,0.7389162561576355,0.3004926108374384
September 2004,0.4227757579800664,USHighPlain,0.15763546798029557,0.7142857142857143,0.8620689655172414,0.7241379310344829,0.45320197044334976,0.645320197044335
October 2004,0.43874042844171723,USHighPlain,0.16748768472906403,0.47783251231527096,0.9064039408866995,0.7142857142857143,0.6995073891625616,0.5270935960591133
November 2004,0.6976287456848936,USHighPlain,0.9753694581280788,0.4876847290640394,0.9655172413793104,0.7044334975369457,0.5812807881773401,0.6502463054187192
December 2004,0.5956092336797351,USHighPlain,0.32019704433497537,0.8078817733990148,1.0,0.6945812807881774,0.8374384236453202,0.6650246305418719
January 2005,0.7518806447046814,USHighPlain,0.8620689655172414,0.43842364532019706,0.9950738916256158,0.6896551724137931,0.43349753694581283,0.7536945812807881
February 2005,0.7618676545412856,USHighPlain,0.7635467980295566,0.9113300492610837,0.9901477832512313,0.6798029556650247,0.9211822660098522,0.768472906403941
March 2005,0.5223026575510965,USHighPlain,0.4975369458128079,0.6157635467980296,0.9802955665024631,0.6699507389162561,0.9408866995073889,0.4039408866995074
April 2005,0.6240936788533149,USHighPlain,0.6009852216748769,0.6009852216748768,0.9704433497536946,0.6650246305418719,0.9901477832512315,0.22167487684729065
May 2005,0.30987499100795846,USHighPlain,0.30049261083743845,0.4039408866995074,0.9556650246305419,0.6551724137931028,0.8669950738916257,0.12315270935960591
June 2005,0.3981525391930959,USHighPlain,0.896551724137931,0.45320197044334976,0.9458128078817734,0.645320197044335,0.7586206896551724,0.8275862068965517
July 2005,0.2969639947745369,USHighPlain,0.4039408866995074,0.49261083743842365,0.9359605911330049,0.6403940886699507,0.35467980295566504,0.2955665024630542
August 2005,0.33989925744952226,USHighPlain,0.9113300492610837,0.32019704433497537,0.9211822660098522,0.6305418719211823,0.33004926108374383,0.5665024630541872
September 2005,0.3252067183957215,USHighPlain,0.009852216748768473,0.8768472906403941,0.9113300492610837,0.6206896551724138,0.3842364532019705,0.4975369458128079
October 2005,0.27098534177341915,USHighPlain,0.11330049261083744,0.43349753694581283,0.896551724137931,0.6059113300492611,0.33990147783251234,0.5320197044334976
November 2005,0.25029040267674924,USHighPlain,0.5221674876847291,0.8817733990147784,0.8866995073891626,0.6009852216748768,0.5369458128078818,0.3054187192118227
December 2005,0.22556250450267565,USHighPlain,0.33990147783251234,0.2512315270935958,0.8719211822660099,0.58128078817734,0.6157635467980296,0.6009852216748768
January 2006,0.20747417333776333,USHighPlain,0.4827586206896552,0.9950738916256158,0.842364532019705,0.5714285714285714,0.9704433497536946,0.4876847290640394
February 2006,0.12544739857040627,USHighPlain,0.25123152709359603,0.5714285714285714,0.7733990147783252,0.5615763546798029,0.9458128078817734,0.2857142857142857
March 2006,0.09368177156366289,USHighPlain,0.8423645320197088,0.645320197044335,0.6650246305418719,0.5467980295566502,0.45812807881773415,0.4729064039408867
April 2006,0.23196252318759694,USHighPlain,0.47783251231527096,0.9753694581280788,0.5911330049261082,0.5320197044334976,0.49261083743842365,0.33497536945812806
May 2006,0.08363254203923241,USHighPlain,0.059113300492610835,0.812807881773399,0.5320197044334976,0.5221674876847291,0.14285714285714285,0.034482758620689655
June 2006,0.052812504724733735,USHighPlain,0.18719211822660098,0.8275862068965517,0.4827586206896552,0.5123152709359604,0.054187192118226604,0.019704433497536946
July 2006,0.034674496123311506,USHighPlain,0.35467980295566504,0.7783251231527094,0.4236453201970443,0.502463054187189,0.06403940886699508,0.059113300492610835
August 2006,0.09165467205219845,USHighPlain,0.9310344827586207,0.4433497536945813,0.3694581280788177,0.4876847290640394,0.18226600985221675,0.35960591133004927
September 2006,0.18612853862354778,USHighPlain,0.19704433497536947,0.04433497536945813,0.3251231527093596,0.47783251231527096,0.6847290640394089,0.7192118226600985
October 2006,0.19567931831196003,USHighPlain,0.09359605911330049,0.2019704433497537,0.2857142857142857,0.46798029556650245,0.7192118226600985,0.29064039408866993
