hotspot,time,t2m,tp,EVI,lwe_thickness,Population
USHighPlain,April 2002,0.6896551724137931,0.1724137931034483,0.11822660098522167,0.768472906403941,0.0
USHighPlain,May 2002,0.2413793103448276,0.29064039408866993,0.12315270935960591,0.9064039408866995,0.0049261083743842365
USHighPlain,June 2002,0.7536945812807881,0.03940886699507389,0.059113300492610835,0.6847290640394089,0.009852216748768473
USHighPlain,July 2002,0.645320197044335,0.18719211822660098,0.009852216748768473,0.6600985221674877,0.014778325123152709
USHighPlain,August 2002,0.5812807881773422,0.3645320197044335,0.019704433497536946,0.5369458128078818,0.019704433497536946
USHighPlain,September 2002,0.4876847290640394,0.21674876847290642,0.18226600985221675,0.5320197044334976,0.024630541871921183
USHighPlain,October 2002,0.009852216748768473,0.9261083743842364,0.43349753694581283,0.5566502463054187,0.029556650246305417
USHighPlain,November 2002,0.1477832512315271,0.19211822660098524,0.3497536945812808,0.6995073891625616,0.034482758620689655
USHighPlain,December 2002,0.7142857142857143,0.2955665024630542,0.812807881773399,0.6206896551724138,0.03940886699507389
USHighPlain,January 2003,0.46798029556650245,0.33004926108374383,0.7635467980295566,0.46798029556650245,0.04433497536945813
USHighPlain,February 2003,0.15763546798029557,0.5763546798029556,0.6403940886699507,0.5270935960591133,0.04926108374384237
USHighPlain,March 2003,0.15270935960591134,0.5615763546798029,0.5172413793103449,0.6798029556650247,0.054187192118226604
USHighPlain,April 2003,0.6354679802955665,0.5221674876847291,0.8374384236453202,0.541871921182266,0.059113300492610835
USHighPlain,May 2003,0.3103448275862069,0.4729064039408867,0.9211822660098522,0.5911330049261081,0.06403940886699508
USHighPlain,June 2003,0.034482758620689655,0.9359605911330049,0.6995073891625616,0.43842364532019706,0.06896551724137931
USHighPlain,July 2003,0.7339901477832512,0.029556650246305417,0.11330049261083744,0.4729064039408867,0.07389162561576355
USHighPlain,August 2003,0.8275862068965517,0.20689655172413793,0.034482758620689655,0.3004926108374384,0.07881773399014778
USHighPlain,September 2003,0.09852216748768473,0.6699507389162561,0.2019704433497537,0.37438423645320196,0.08374384236453201
USHighPlain,October 2003,0.8177339901477833,0.014778325123152709,0.4729064039408867,0.3251231527093596,0.08866995073891626
USHighPlain,November 2003,0.21182266009852216,0.5073891625615763,0.4975369458128079,0.2857142857142857,0.09359605911330049
USHighPlain,December 2003,0.8029556650246306,0.3103448275862069,0.7241379310344828,0.32019704433497537,0.09852216748768473
USHighPlain,January 2004,0.41379310344827586,0.6847290640394089,0.5862068965517241,0.31527093596059114,0.10344827586206896
USHighPlain,February 2004,0.1625615763546798,0.7438423645320197,0.1330049261083744,0.3645320197044335,0.10837438423645321
USHighPlain,March 2004,0.7635467980295566,0.7881773399014779,0.31527093596059114,0.4433497536945813,0.11330049261083744
USHighPlain,April 2004,0.5862068965517224,0.3497536945812808,0.6305418719211823,0.3990147783251233,0.11822660098522167
USHighPlain,May 2004,0.812807881773399,0.059113300492610835,0.4187192118226601,0.26108374384236455,0.12315270935960591
USHighPlain,June 2004,0.07881773399014778,0.9064039408866995,0.09359605911330048,0.29556650246305416,0.12807881773399016
USHighPlain,July 2004,0.08374384236453201,0.9458128078817734,0.6108374384236454,0.5221674876847291,0.1330049261083744
USHighPlain,August 2004,0.08866995073891626,0.1330049261083744,0.6502463054187192,0.5024630541871921,0.13793103448275862
USHighPlain,September 2004,0.6995073891625616,0.7093596059113301,0.38916256157635415,0.41379310344827586,0.14285714285714285
USHighPlain,October 2004,0.625615763546798,0.3842364532019705,0.5911330049261084,0.458128078817734,0.1477832512315271
USHighPlain,November 2004,0.3990147783251232,0.9753694581280788,0.4827586206896552,0.6354679802955665,0.15270935960591134
USHighPlain,December 2004,0.8325123152709359,0.12807881773399007,0.7881773399014779,0.5960591133004927,0.15763546798029557
USHighPlain,January 2005,0.2857142857142857,0.8325123152709359,0.3842364532019705,0.7142857142857143,0.1625615763546798
USHighPlain,February 2005,0.9211822660098522,0.7142857142857143,0.7980295566502463,0.8226600985221674,0.16748768472906403
USHighPlain,March 2005,0.22167487684729065,0.49261083743842365,0.8078817733990148,0.6699507389162561,0.1724137931034483
USHighPlain,April 2005,0.5270935960591133,0.26108374384236455,0.9802955665024631,0.6945812807881774,0.17733990147783252
USHighPlain,May 2005,0.4285714285714286,0.22167487684729065,0.8177339901477833,0.4088669950738916,0.18226600985221675
USHighPlain,June 2005,0.39408866995073893,0.8866995073891626,0.6945812807881774,0.4482758620689655,0.18719211822660098
USHighPlain,July 2005,0.507389162561576,0.3743842364532019,0.33497536945812806,0.33990147783251234,0.19211822660098524
USHighPlain,August 2005,0.4187192118226601,0.8226600985221673,0.28078817733990147,0.3793103448275862,0.19704433497536947
USHighPlain,September 2005,0.8817733990147784,0.11822660098522167,0.3103448275862069,0.27586206896551724,0.2019704433497537
USHighPlain,October 2005,0.5763546798029556,0.24630541871921183,0.2660098522167488,0.2660098522167488,0.20689655172413793
USHighPlain,November 2005,0.7980295566502464,0.5024630541871917,0.46798029556650245,0.23645320197044334,0.21182266009852216
USHighPlain,December 2005,0.25123152709359575,0.15270935960591134,0.5467980295566502,0.2315270935960591,0.21674876847290642
USHighPlain,January 2006,1.0,0.4039408866995074,0.9408866995073887,0.22167487684729065,0.22167487684729065
USHighPlain,February 2006,0.6157635467980296,0.12315270935960591,0.8571428571428572,0.2019704433497537,0.22660098522167488
USHighPlain,March 2006,0.2660098522167488,0.8472906403940886,0.300492610837438,0.1625615763546798,0.2315270935960591
