,r²,MAE,MSE,MBD,Scenario
USHighPlain,0.9348,0.0527,0.0032,-0.05266244988275713,2
USHighPlain,0.9989,0.0073,0.0001,0.007258970664804913,3
USHighPlain,0.6682,0.1258,0.0165,-0.12584323399823674,4
USHighPlain,0.8499,0.0841,0.0075,0.08405932051253445,5
USHighPlain,1.0,0.0004,0.0,-0.0004373292517985526,6
USHighPlain,1.0,0.0003,0.0,-0.00030456785061119796,7
Greece,0.3177,0.1308,0.0223,-0.13076936382026197,2
Greece,0.9778,0.0263,0.0007,0.026301494530565874,3
Greece,0.9545,0.0371,0.0015,-0.037129663967100025,4
Greece,1.0,0.0,0.0,1.5110757155858763e-05,5
Greece,1.0,0.0,0.0,-1.7108764866328906e-06,6
Greece,0.9999,0.0015,0.0,-0.0008965866466660378,7
Sudan,0.6663,0.1029,0.0109,-0.1029243488751474,2
Sudan,0.9673,0.0313,0.0011,0.03126412422707939,3
Sudan,0.9947,0.0095,0.0002,-0.009456565415260566,4
Sudan,0.7908,0.0767,0.0068,-0.07671946519464898,5
Sudan,1.0,0.0,0.0,5.419655780382303e-06,6
Sudan,0.9998,0.0022,0.0,-0.002052264671736114,7
Indus,0.7813,0.1246,0.016,0.12459036619084232,2
Indus,0.9956,0.0177,0.0003,-0.01770412813462359,3
Indus,0.9795,0.037,0.0015,-0.03698786350318313,4
Indus,0.9986,0.0099,0.0001,-0.00991603772626496,5
Indus,1.0,0.0001,0.0,-6.111052576152347e-05,6
Indus,0.9999,0.0016,0.0,0.0006815152095160642,7
Ganges,0.5439,0.1588,0.0264,0.15878041657149874,2
Ganges,0.9937,0.0187,0.0004,0.01874263883921514,3
Ganges,0.9677,0.0389,0.0019,-0.03890116364201481,4
Ganges,0.9565,0.0482,0.0025,-0.04816108760745052,5
Ganges,1.0,0.0,0.0,2.039266473653733e-05,6
Ganges,0.9999,0.0019,0.0,-0.0018310824181665324,7
Turkey,-0.1862,0.1985,0.0463,0.1985479672105372,2
Turkey,0.9715,0.033,0.0011,-0.033011930411017396,3
Turkey,0.8873,0.0651,0.0044,-0.06514624144193079,4
Turkey,0.987,0.0222,0.0005,0.022179136014464636,5
Turkey,0.9999,0.0005,0.0,-0.0004912430734146342,6
Turkey,0.9999,0.0013,0.0,-0.0006044470946594917,7
Italy,0.3566,0.125,0.02,0.12504737567601376,2
Italy,0.9897,0.0176,0.0003,0.017627231394820194,3
Italy,0.9065,0.0528,0.0029,-0.05281028382699337,4
Italy,0.9969,0.0093,0.0001,0.009345896219202279,5
Italy,1.0,0.0,0.0,-2.766817101498165e-05,6
Italy,0.9999,0.001,0.0,0.000625497330939284,7
California,0.0821,0.1935,0.0406,0.1934522842313709,2
California,0.9917,0.019,0.0004,-0.019023716074130812,3
California,0.9823,0.0263,0.0008,-0.026328715836489505,4
California,0.9818,0.0276,0.0008,-0.027592736028366347,5
California,1.0,0.0001,0.0,-0.00012844722733758543,6
California,0.9999,0.002,0.0,0.0018527917147375197,7
Mexico,0.5313,0.1359,0.02,0.13594654011969956,2
Mexico,0.9991,0.0061,0.0,0.006119453028384453,3
Mexico,0.8015,0.0901,0.0085,-0.09012514352111721,4
Mexico,0.9086,0.0616,0.0039,0.06164796011450175,5
Mexico,0.9999,0.0007,0.0,0.0006611156398293078,6
Mexico,1.0,0.0002,0.0,-4.88047010580624e-05,7
Chile,0.8155,0.08,0.0069,-0.08001389038086172,2
Chile,0.9833,0.0247,0.0006,-0.024738367466403986,3
Chile,0.9395,0.0458,0.0023,-0.045795496544432886,4
Chile,0.6655,0.1082,0.0125,0.10823582495354968,5
Chile,1.0,0.0,0.0,-1.2881713758207504e-05,6
Chile,0.999,0.0054,0.0,0.005218790527046211,7
Iran,-2.0167,0.3766,0.1708,0.37658088552182334,2
Iran,1.0,0.0011,0.0,-0.0010924783709691495,3
Iran,0.9981,0.0097,0.0001,-0.009744002330889422,4
Iran,0.989,0.0234,0.0006,0.02339472666294354,5
Iran,1.0,0.0001,0.0,-6.711275240126926e-05,6
Iran,1.0,0.001,0.0,0.0009352115453694031,7
Vietnam,0.9984,0.0055,0.0,-0.0055208245358185255,2
Vietnam,0.9889,0.0146,0.0002,0.014617237428667698,3
Vietnam,0.8719,0.0492,0.0026,-0.0491953050441573,4
Vietnam,0.6013,0.0883,0.008,-0.08834588594740621,5
Vietnam,1.0,0.0001,0.0,9.054834411588137e-05,6
