,r²,MAE,MSE,MBD,Scenario
USHighPlain,0.7948,0.1128,0.0183,-0.04614091749859705,2
USHighPlain,0.8073,0.1071,0.0172,0.013780503048964986,3
USHighPlain,0.6339,0.1508,0.0326,-0.11932170161407667,4
USHighPlain,0.709,0.1195,0.0259,0.09058085289669454,5
USHighPlain,0.809,0.1067,0.017,0.006084203132361523,6
USHighPlain,0.8093,0.1066,0.017,0.006216964533548874,7
Greece,0.4543,0.1459,0.0401,-0.01865620521282072,2
Greece,0.1676,0.2012,0.0612,0.13841465313800713,3
Greece,0.3604,0.1602,0.047,0.07498349464034122,4
Greece,0.2561,0.1837,0.0547,0.1121282693645971,5
Greece,0.2561,0.1837,0.0547,0.11211144773095462,6
Greece,0.2585,0.1834,0.0545,0.1112165719607752,7
Sudan,0.1585,0.195,0.0582,-0.13569542084924163,2
Sudan,0.4381,0.1655,0.0389,-0.001506947747014825,3
Sudan,0.3939,0.1661,0.0419,-0.04222763738935478,4
Sudan,0.2253,0.1875,0.0536,-0.10949053716874318,5
Sudan,0.4193,0.1647,0.0402,-0.03276565231831383,6
Sudan,0.4207,0.1639,0.0401,-0.03482333664583033,7
Indus,0.6176,0.1325,0.0277,0.09800519610670544,2
Indus,0.7198,0.1091,0.0203,-0.04428929821876048,3
Indus,0.6947,0.1167,0.0221,-0.06357303358732001,4
Indus,0.7251,0.1065,0.0199,-0.03650120781040185,5
Indus,0.7377,0.1028,0.019,-0.026646280609898407,6
Indus,0.7383,0.1022,0.019,-0.025903654874620822,7
Ganges,0.2858,0.1915,0.0526,0.16381069443766594,2
Ganges,0.6522,0.1304,0.0256,0.02377291670538238,3
Ganges,0.6382,0.1292,0.0266,-0.033870885775847584,4
Ganges,0.6308,0.1267,0.0272,-0.04313080974128329,5
Ganges,0.6639,0.126,0.0247,0.005050670530903762,6
Ganges,0.6678,0.1251,0.0244,0.003199195448000698,7
Turkey,-0.5908,0.3023,0.1119,0.25550326968765685,2
Turkey,0.459,0.144,0.0381,0.023943372066102253,3
Turkey,0.4618,0.1436,0.0379,-0.008190938964811148,4
Turkey,0.3786,0.1621,0.0437,0.07913443849158427,5
Turkey,0.4155,0.155,0.0411,0.05646405940370502,6
Turkey,0.4182,0.1544,0.0409,0.05635085538246015,7
Italy,0.1653,0.2196,0.068,0.169747182677797,2
Italy,0.5513,0.1587,0.0366,0.06232703839660341,3
Italy,0.5905,0.1384,0.0334,-0.00811047682521015,4
Italy,0.5666,0.1544,0.0353,0.0540457032209855,5
Italy,0.5787,0.1505,0.0343,0.04467213883076823,6
Italy,0.577,0.151,0.0345,0.045325304332722506,7
California,-0.0647,0.2311,0.0663,0.22678668657982431,2
California,0.7681,0.0956,0.0144,0.01431068627432259,3
California,0.772,0.0929,0.0142,0.007005686511963893,4
California,0.7691,0.0956,0.0144,0.005741666320087049,5
California,0.755,0.0984,0.0153,0.033205955121115814,6
California,0.7511,0.0993,0.0155,0.035187194063190916,7
Mexico,0.3775,0.1837,0.0498,0.16224020668014577,2
Mexico,0.669,0.1378,0.0265,0.03241311958883069,3
Mexico,0.6551,0.1337,0.0276,-0.06383147696067099,4
Mexico,0.5857,0.1519,0.0331,0.08794162667494798,5
Mexico,0.6727,0.1376,0.0262,0.026954782200275536,6
Mexico,0.6748,0.1371,0.026,0.02624486185938817,7
Chile,0.4344,0.1724,0.0425,-0.04538627805405352,2
Chile,0.4324,0.1691,0.0427,0.00988924486040422,3
Chile,0.4486,0.1687,0.0414,-0.011167884217624683,4
Chile,0.1431,0.1998,0.0644,0.14286343728035789,5
Chile,0.4143,0.1687,0.044,0.03461473061304999,6
Chile,0.4079,0.1692,0.0445,0.03984640285385441,7
Iran,-1.9135,0.3738,0.1776,0.3729671872951193,2
Iran,0.9349,0.0443,0.004,-0.004706176597673199,3
Iran,0.9331,0.0447,0.0041,-0.013357700557593472,4
Iran,0.9248,0.0531,0.0046,0.019781028436239488,5
Iran,0.9351,0.0444,0.004,-0.003680810979105318,6
Iran,0.9352,0.0444,0.004,-0.0026784866813346474,7
Vietnam,0.3794,0.1871,0.0479,0.0028269349647678135,2
Vietnam,0.3737,0.1869,0.0483,0.02296499692925404,3
Vietnam,0.3435,0.189,0.0507,-0.040847545543570965,4
Vietnam,0.3098,0.191,0.0533,-0.07999812644681985,5
Vietnam,0.3771,0.1872,0.0481,0.00843830784470223,6
Vietnam,0.3761,0.1874,0.0481,0.008222648476596721,7
Thailand,-2.0972,0.4165,0.2166,0.40781832095503895,2
Thailand,0.5254,0.1541,0.0332,0.0460886009805716,3
Thailand,0.5532,0.1483,0.0312,0.006118266242637762,4
Thailand,0.5489,0.15,0.0315,0.005609149631303019,5
Thailand,0.5191,0.1553,0.0336,0.0521634972097086,6
Thailand,0.5191,0.1553,0.0336,0.052049566687101985,7
Australia,0.0519,0.2336,0.0885,0.22339413459491816,2
Australia,0.4423,0.1815,0.052,0.02061895086494341,3
Australia,0.2801,0.2251,0.0672,-0.13517924042909493,4
Australia,0.4336,0.1794,0.0529,0.05167237208848598,5
Australia,0.4441,0.1849,0.0519,-0.003151582768249993,6
Australia,0.4615,0.1822,0.0502,-0.010244357042650344,7
ArabianPeninsula,0.9559,0.0513,0.0032,0.0494586703059471,2
ArabianPeninsula,0.9879,0.023,0.0009,-0.008933327519184412,3
ArabianPeninsula,0.9878,0.0231,0.0009,-0.009301234848355103,4
ArabianPeninsula,0.9889,0.0233,0.0008,0.003971816416792131,5
ArabianPeninsula,0.988,0.0229,0.0009,-0.008475336827830415,6
ArabianPeninsula,0.9881,0.0229,0.0009,-0.008022557484477583,7
