,r²,MAE,MSE,MBD,Scenario
USHighPlain,0.7664,0.1161,0.0208,0.07837876545469398,2
USHighPlain,0.8077,0.1076,0.0171,-0.007351859323211814,3
USHighPlain,0.2208,0.2284,0.0694,0.2270632766231351,4
USHighPlain,0.5881,0.1644,0.0367,-0.13190370496103712,5
USHighPlain,0.809,0.1069,0.017,0.007185610060543485,6
USHighPlain,0.8086,0.1069,0.017,0.0070380079075566685,7
Greece,-0.4038,0.2849,0.1032,0.2515233718811648,2
Greece,0.3828,0.156,0.0454,0.06680455257878452,3
Greece,-0.0182,0.2341,0.0749,0.17844315666776014,4
Greece,0.2562,0.1837,0.0547,0.11208778657152974,5
Greece,0.2561,0.1837,0.0547,0.11211688082139602,6
Greece,0.2532,0.1841,0.0549,0.11337625219851098,7
Sudan,0.1366,0.1995,0.0597,0.14100360108984533,2
Sudan,0.2837,0.1761,0.0496,-0.09296814931180289,3
Sudan,0.4449,0.1623,0.0384,-0.01456233065454148,4
Sudan,0.2664,0.1805,0.0508,0.07576745655327169,5
Sudan,0.4193,0.1647,0.0402,-0.032776462866664094,6
Sudan,0.4198,0.1658,0.0401,-0.02877921312195464,7
Indus,-0.0407,0.2424,0.0754,-0.24218020882687966,2
Indus,0.7526,0.0991,0.0179,0.006113613785266528,3
Indus,0.7089,0.1091,0.0211,0.04562866782705847,4
Indus,0.7411,0.1,0.0187,-0.011406219281348126,5
Indus,0.7374,0.103,0.019,-0.026421462816250664,6
Indus,0.7369,0.1037,0.0191,-0.027779819061469032,7
Ganges,-0.4018,0.2743,0.1031,-0.26259594927324675,2
Ganges,0.6371,0.1272,0.0267,-0.023833375835249013,3
Ganges,0.567,0.1468,0.0319,0.08035263475681916,4
Ganges,0.5193,0.1548,0.0354,0.08833410847355858,5
Ganges,0.6641,0.126,0.0247,0.0049737253286151265,6
Ganges,0.6571,0.1275,0.0252,0.008377471392703693,7
Turkey,-0.266,0.2316,0.0891,-0.1973603628143146,2
Turkey,0.2568,0.1824,0.0523,0.11843392066373094,3
Turkey,0.0235,0.2186,0.0687,0.17520534436419272,4
Turkey,0.4699,0.1439,0.0373,0.017582728225440908,5
Turkey,0.4188,0.154,0.0409,0.057427319538634454,6
Turkey,0.416,0.1545,0.0411,0.05803108470822094,7
Italy,0.4514,0.1642,0.0447,-0.07565468753118255,2
Italy,0.6017,0.1392,0.0325,0.012171716257207723,3
Italy,0.3624,0.2023,0.0519,0.14127096998568578,4
Italy,0.589,0.1455,0.0335,0.02973292830392918,5
Italy,0.5787,0.1504,0.0343,0.044719788132282376,6
Italy,0.5813,0.1497,0.0341,0.04374563563820122,7
California,-0.6533,0.2712,0.103,-0.25747037937563005,2
California,0.696,0.1125,0.0189,0.07011167390897197,3
California,0.6695,0.118,0.0206,0.07797917496183437,4
California,0.6685,0.1189,0.0207,0.07841166447482793,5
California,0.7544,0.0986,0.0153,0.03339829096477052,6
California,0.7588,0.0974,0.015,0.030052459982529953,7
Mexico,0.0966,0.2131,0.0722,-0.19897133928211805,2
Mexico,0.6797,0.1368,0.0256,0.015302836402204017,3
Mexico,0.2057,0.2169,0.0635,0.17911308784983923,4
Mexico,0.6431,0.1358,0.0285,-0.06748970605311014,5
Mexico,0.6789,0.1361,0.0257,0.024859554176435983,6
Mexico,0.6749,0.1371,0.026,0.02635763044269866,7
Chile,-0.0184,0.2182,0.0765,0.16618125125686417,2
Chile,0.3458,0.1767,0.0492,0.07955728435472238,3
Chile,0.2605,0.1853,0.0556,0.10950708757550831,4
Chile,0.2636,0.2001,0.0554,-0.14010027373959044,5
Chile,0.4144,0.1687,0.044,0.03464714851950183,6
Chile,0.4351,0.1667,0.0425,0.025405897015317695,7
Iran,-2.7631,0.4192,0.2294,-0.4148203103323113,2
Iran,0.935,0.0447,0.004,-0.0014148936450954774,3
Iran,0.9318,0.0469,0.0042,0.013366009437779113,4
Iran,0.9163,0.0517,0.0051,-0.033748159290820486,5
Iran,0.9351,0.0443,0.004,-0.003542615505418886,6
Iran,0.9349,0.0443,0.004,-0.005253103198559422,7
Vietnam,0.3711,0.188,0.0485,0.017190749020316226,2
Vietnam,0.3684,0.1893,0.0487,-0.015277614741413967,3
Vietnam,0.26,0.1944,0.0571,0.09971569227548518,4
Vietnam,0.0481,0.2196,0.0735,0.13753775851600572,5
Vietnam,0.3761,0.1873,0.0481,0.008220678548576157,6
Vietnam,0.377,0.187,0.0481,0.00845070905050016,7
Thailand,-2.1698,0.4051,0.2216,-0.3982252041827965,2
Thailand,0.5059,0.1574,0.0345,0.06184967150715722,3
Thailand,0.2974,0.1853,0.0491,0.13866564960569733,4
Thailand,0.2872,0.1883,0.0498,0.1258037492503622,5
Thailand,0.5191,0.1553,0.0336,0.05208054633597058,6
Thailand,0.5191,0.1553,0.0336,0.05235984985457057,7
Australia,-0.3502,0.2975,0.126,-0.29191913802400643,2
Australia,0.4326,0.1923,0.0529,-0.03744935119813525,3
Australia,-0.138,0.2508,0.1062,0.2301593384192088,4
Australia,0.3647,0.207,0.0593,-0.09754681224147829,5
Australia,0.4576,0.1803,0.0506,0.004461613524094639,6
Australia,0.4249,0.1854,0.0537,0.019731514590029905,7
ArabianPeninsula,0.818,0.1108,0.0132,-0.11084681376063062,2
ArabianPeninsula,0.9882,0.0228,0.0009,-0.007671829530944672,3
ArabianPeninsula,0.9881,0.0229,0.0009,-0.006925725937378929,4
ArabianPeninsula,0.9794,0.0307,0.0015,-0.02558754589023712,5
ArabianPeninsula,0.988,0.0229,0.0009,-0.008472947397548418,6
ArabianPeninsula,0.9878,0.0231,0.0009,-0.00928068103993583,7
China,-1.8876,0.4129,0.2377,-0.4023307131440915,2
China,0.6914,0.1272,0.0254,-0.00556423210328993,3
China,0.6754,0.1257,0.0267,0.07200497992259748,4
China,0.6858,0.1282,0.0259,-0.025116957250228708,5
China,0.6906,0.127,0.0255,-0.0183925517737772,6
China,0.6911,0.1269,0.0254,-0.01844617266320895,7
Peru,0.0436,0.2022,0.066,0.1363426593414869,2
Peru,0.2775,0.1896,0.0498,-0.03257880994586061,3
Peru,0.312,0.1793,0.0475,0.05272242144767305,4
Peru,0.3102,0.1806,0.0476,0.036285086224345627,5
Peru,0.3297,0.1819,0.0462,0.013470525588730122,6
Peru,0.3301,0.1829,0.0462,0.009225465428454578,7
