,+10% population,+1K temperature,+10% precipitation,+10% EVI,+10% LWE thickness,+10% discharge,Model,Hotspot
0,0.9064039408866995,0.9064039408866995,0.9064039408866995,0.9064039408866995,0.925438061750547,0.9064039408866995,0.9064039408866995,USHighPlain
1,0.8140973960585435,0.8021417699016322,0.8323218346572865,0.7937134862030134,0.8212561419045931,0.8037967725257589,0.8037201856022365,USHighPlain
2,0.716823000129724,0.6944476192344667,0.7349971026399034,0.6801628698064706,0.7130505942895882,0.6969816362805665,0.6968948828891091,USHighPlain
3,0.6708149605891318,0.6385125250693854,0.6984440264714016,0.6246373630132497,0.6569809076652393,0.6422109609961638,0.6420968028947174,USHighPlain
4,0.6305641074096366,0.5890952379433638,0.6733449935131179,0.5744574784738883,0.6074698263171776,0.5939474637718878,0.5937572407597688,USHighPlain
5,0.6600051152224746,0.6096984178121071,0.7047272198825978,0.5788215843420732,0.6283899296765957,0.6159853504395588,0.615756653737712,USHighPlain
6,0.6709412343903405,0.6138821888096041,0.7068013321946073,0.5696886427727034,0.6314840027701768,0.6200909290508908,0.6198450846186875,USHighPlain
7,0.6071241678083217,0.5429968328792324,0.6384509934926703,0.48794018685928603,0.5604531394896772,0.549966307922076,0.549730313803576,USHighPlain
8,0.5421365999529293,0.4715229871304485,0.5715383151661977,0.4147981705663535,0.488827527481974,0.47930868280943795,0.47894868915714206,USHighPlain
9,0.5221465059918969,0.4450190557368408,0.554310317038892,0.3866181665301055,0.4627300580060691,0.45407970053111485,0.45362877728911555,USHighPlain
10,0.539313957258802,0.4566095901785695,0.5878711390025408,0.39441304599153004,0.47428450947427603,0.46634901154041075,0.4658995852589889,USHighPlain
11,0.5534759532867758,0.4657716266898814,0.6300972627686379,0.39580947429577856,0.48328300528300644,0.47612763566343136,0.47555805356658004,USHighPlain
12,0.5373978166481118,0.444973384981176,0.6523559230120708,0.3749099205972154,0.4624548667867887,0.45594007183620083,0.4553379415184217,USHighPlain
13,0.5748773298899744,0.47782461838115897,0.7036973451750125,0.4114673296071783,0.4955676020177344,0.48967136270100886,0.48901084579001364,USHighPlain
14,0.5616166976642832,0.4614596937906349,0.6741958933041994,0.3879082119070766,0.4782932821664506,0.47309654529419665,0.4722526044006127,USHighPlain
15,0.4832105081669201,0.37957460478492266,0.590735544036081,0.2947220658061144,0.3961984310504054,0.39150110948926614,0.3906332115114485,USHighPlain
16,0.4952411524678589,0.3888698053493956,0.6064082723748213,0.30626723618762103,0.4048391275547493,0.40056115335009995,0.39971194320269815,USHighPlain
17,0.4752949104034279,0.3661884559785628,0.5781826576103392,0.27215583196265686,0.3817798420549839,0.3778732485589709,0.3770562153955322,USHighPlain
18,0.42468355165392774,0.31323269637076373,0.5209318772803645,0.21099471782908846,0.3283098495376147,0.32475500293475906,0.3239580167799421,USHighPlain
19,0.41581178587141177,0.30126412011471215,0.5102954535070167,0.19401223438204962,0.3168153491455149,0.3136777293722431,0.31280604660826683,USHighPlain
20,0.4174010308788446,0.30087554128627225,0.5050907641699633,0.19435658293082814,0.31599608923734546,0.31320287911896005,0.3123023565664741,USHighPlain
21,0.48090474595986665,0.3617146162024287,0.5630525426129794,0.2556631488242411,0.3772893128391105,0.37477602847921476,0.3738863117143244,USHighPlain
22,0.5736769655168964,0.4523608849026928,0.6512647078595785,0.3530579110324369,0.46803582683749184,0.46581398514461436,0.4649006739482159,USHighPlain
23,0.5947062655518414,0.4718246109084989,0.6783725587155802,0.36583090339755886,0.48720668416348223,0.48515867954118247,0.48431829733118187,USHighPlain
24,0.5126020273340405,0.38791488132771607,0.6041719980429427,0.27784441560205436,0.4034131579821821,0.40167437503634723,0.4007521143943101,USHighPlain
25,0.5181825690319829,0.39248059310329264,0.6064376729893847,0.2715391837569945,0.40749439996633036,0.405954487799598,0.40504280556859695,USHighPlain
26,0.6506692909635299,0.524144702392806,0.7304987487354881,0.401201548481497,0.5386568565693653,0.5373745696298188,0.5363982257380664,USHighPlain
27,0.6489842193391069,0.5216043698563307,0.7217854330179253,0.3923977053039389,0.5358087771472443,0.5346598998882232,0.5337279218325109,USHighPlain
28,0.6218642551555613,0.49377187676051737,0.6932077172039011,0.36042573672508027,0.5076743702105333,0.5067687802152928,0.5057572978050514,USHighPlain
29,0.6317822381385305,0.5026807483435035,0.7092036998536669,0.36042086226419795,0.5167147820167874,0.5159031913142941,0.5149486012632106,USHighPlain
30,0.6693882647992097,0.5393082460628932,0.7455029511922225,0.39596068739662016,0.5535693359951785,0.5529396279098664,0.5519421702995139,USHighPlain
31,0.6729988526737396,0.5417079893151477,0.7349048635029971,0.396796757555919,0.5565446245428318,0.5560071930707713,0.555045532110879,USHighPlain
32,0.6469938017413804,0.5157156058929914,0.6998728859604978,0.37501365400251396,0.5300113037019005,0.529567852695961,0.5286302039617046,USHighPlain
33,0.7148722934524019,0.5826140997443963,0.7630769237370594,0.4436756411234277,0.5974601306995087,0.5970239998227134,0.596187736515059,USHighPlain
34,0.7120967233006786,0.5802548718622559,0.7675823989042081,0.44530871101135905,0.5943457398720797,0.5939130772503753,0.5931734950924292,USHighPlain
35,0.6580666370498669,0.5254580616266606,0.7370642649966557,0.39493402618610257,0.5400605267019992,0.5398574750917252,0.538980548625856,USHighPlain
36,0.5655090109250623,0.4322776598902671,0.6731832781241428,0.31275971721791274,0.44732487992756464,0.44739083864558865,0.44632990629646185,USHighPlain
37,0.5692240936516607,0.43548647865123047,0.6894137804632354,0.3190092327429123,0.4509329792846202,0.4511353177659037,0.4500163194482232,USHighPlain
38,0.5914378739678394,0.457146137529824,0.712587276612172,0.3384561347421964,0.473105222208423,0.4732426585513441,0.472260712133586,USHighPlain
39,0.6234617976801171,0.4887936594111658,0.7474858969359204,0.3551904182900879,0.505147903290766,0.5054189181580192,0.5043698641118003,USHighPlain
40,0.6197514652882927,0.48483156195456717,0.737124041704665,0.33774133675250545,0.5015118772658318,0.5018924955621686,0.5007950770972578,USHighPlain
41,0.5429908473351084,0.40900154733837457,0.6604691360241558,0.2529902943880612,0.4248767424471924,0.42536686956373154,0.42421636120218775,USHighPlain
