,r²,MAE,MSE,MBD,Scenario
ArabianPeninsula,0.9879,0.023,0.0009,-0.008919919511483318,7
China,-0.524,0.3026,0.1255,-0.2849156218696374,2
China,0.6924,0.1269,0.0253,-0.01145945031109401,3
China,0.7063,0.1229,0.0242,0.02872717798603347,4
China,0.6878,0.1276,0.0257,-0.02248897886133539,5
China,0.6907,0.127,0.0255,-0.018409147930059433,6
China,0.6911,0.1269,0.0254,-0.018449242226920685,7
Peru,0.2293,0.1855,0.0532,0.08198721411978849,2
Peru,0.3105,0.1864,0.0476,-0.016167141549527236,3
Peru,0.3234,0.1792,0.0467,0.034124792429576674,4
Peru,0.3194,0.1806,0.047,0.025929696963330983,5
Peru,0.3297,0.1819,0.0462,0.013462828676418657,6
Peru,0.3297,0.1825,0.0462,0.01106342115598291,7
Nile,0.3709,0.1636,0.0409,-0.08029898522416788,2
Nile,0.4911,0.1545,0.0331,-0.004957091209043023,3
Nile,0.494,0.1536,0.0329,0.006674061024070501,4
Nile,0.4765,0.1554,0.0341,0.030292607026920732,5
Nile,0.4964,0.1533,0.0328,0.009905382949897318,6
Nile,0.4782,0.1562,0.034,0.023027466994888543,7
Java,0.3628,0.2077,0.062,0.1832250171069829,2
Java,0.6903,0.1387,0.0302,0.07226512667612563,3
Java,0.7003,0.1352,0.0292,0.05856507292448916,4
Java,0.6995,0.137,0.0293,0.06327269783959487,5
Java,0.7183,0.1335,0.0274,0.04665093481067544,6
Java,0.7183,0.1333,0.0274,0.046332272164390065,7
Japan,-0.6498,0.2906,0.1344,-0.21138426208653566,2
Japan,0.0964,0.2213,0.0736,0.03348672141019192,3
Japan,0.0819,0.2224,0.0748,0.04148150962127062,4
Japan,0.1141,0.2204,0.0722,0.0013190980494239943,5
Japan,0.1115,0.2214,0.0724,-0.0033042915557507163,6
Japan,0.1107,0.2207,0.0725,-0.000881981001225745,7
Spain,0.5736,0.1387,0.0296,0.04868638488015283,2
Spain,0.4934,0.1494,0.0351,0.08799302529500201,3
Spain,0.4537,0.1551,0.0379,0.1021544054847857,4
Spain,0.4855,0.1504,0.0357,0.09109389713137009,5
Spain,0.4897,0.1499,0.0354,0.08932206293449525,6
Spain,0.4989,0.1489,0.0347,0.08609191570473783,7
