,r²,MAE,MSE,MBD,Scenario
ArabianPeninsula,1.0,0.0009,0.0,0.0008757325010392625,7
China,-2.0592,0.4049,0.2096,0.4049126961832752,2
China,0.9974,0.0131,0.0002,-0.013114703094021577,3
China,0.8373,0.1018,0.0111,-0.10182523572244909,4
China,0.9992,0.0072,0.0001,0.007230864263152242,5
China,1.0,0.0,0.0,-2.970206285762833e-05,6
China,1.0,0.0,0.0,-9.493760212852003e-06,7
Peru,0.3242,0.1435,0.0221,-0.143517213565301,2
Peru,0.9184,0.0467,0.0027,0.046705813559672585,3
Peru,0.9377,0.042,0.002,-0.04203796517525756,4
Peru,0.9767,0.026,0.0008,-0.026044924379100266,5
Peru,1.0,0.0,0.0,-1.2493200337405479e-05,6
Peru,0.9988,0.0053,0.0,0.00468822118023116,7
Nile,-0.4142,0.1779,0.0349,0.17788766544654022,2
Nile,0.9669,0.0283,0.0008,0.028310796518821634,3
Nile,0.9972,0.0073,0.0001,0.007318810260029056,4
Nile,0.9494,0.0344,0.0012,-0.034381718380528344,5
Nile,1.0,0.0002,0.0,0.00019697806822943235,6
Nile,0.9843,0.018,0.0004,-0.01804396930213626,7
Java,-0.2879,0.2615,0.077,-0.2614939005449052,2
Java,0.9755,0.0355,0.0015,-0.035489182075685126,3
Java,0.9859,0.0255,0.0008,-0.025457462508540227,4
Java,0.9835,0.0297,0.001,-0.029708747583815847,5
Java,1.0,0.0,0.0,-2.425483275658927e-05,6
Java,1.0,0.0015,0.0,0.0007071078981377496,7
Japan,-4.4641,0.2322,0.0646,0.2322419544723085,2
Japan,0.5929,0.0685,0.0048,-0.06852969270692225,3
Japan,0.2595,0.0931,0.0088,-0.09307910946354268,4
Japan,0.9953,0.0071,0.0001,-0.007096357888517934,5
Japan,0.9999,0.0003,0.0,0.0002970699655115495,6
Japan,0.9956,0.0059,0.0001,-0.004422594513501924,7
Spain,0.8429,0.0767,0.0067,0.07674299349650246,2
Spain,0.9999,0.0025,0.0,0.0024893705794548785,3
Spain,0.9827,0.0264,0.0007,-0.026404219480926236,4
Spain,0.9998,0.0029,0.0,-0.0028688503551717046,5
Spain,1.0,0.0,0.0,-1.5444714271201088e-05,6
Spain,0.9974,0.0092,0.0001,0.0053825428618831245,7
