,+5% population,+0.5K temperature,+5% precipitation,+5% EVI,+5% LWE thickness,+5% discharge,Model,Hotspot
84,0.45977523003604126,0.5422711092063716,0.5488942312007018,0.5772461178518086,0.557539735596548,0.5627423529265954,0.5575397356736645,Nile
85,0.47773593057437663,0.5601081120091997,0.5681585663390392,0.5951467471207519,0.5756740189819436,0.5815936108424277,0.5756740190434839,Nile
86,0.45479419778875274,0.5381380701815044,0.5466820871404094,0.570971744212053,0.5528767683372582,0.563141811588485,0.5528767683863682,Nile
87,0.46549370454554334,0.5484209766498609,0.5585347365666697,0.5843659877604013,0.5636984707833914,0.5726080840170877,0.5636984708225821,Nile
88,0.4989600147528882,0.5795611092352599,0.5929437653866538,0.617731727831947,0.5972705878904503,0.6062229012793949,0.597270587921725,Nile
89,0.5100479495019931,0.5916176644881653,0.604602935049817,0.6287672140273463,0.6084482362913242,0.6172944009918575,0.6084482363162819,Nile
90,0.5005259125290243,0.5838918414781773,0.594892879630183,0.6193964042557469,0.5990065374299025,0.6082568326330788,0.5990065374498192,Nile
91,0.5347035033335974,0.6165548974072113,0.6287615364999137,0.6551071925881369,0.6332530650407167,0.6414726042518447,0.6332530650566106,Nile
92,0.5292394316983037,0.6130220407161543,0.6159518961888545,0.6520067681736703,0.627849784902433,0.6354964782897731,0.6278497849151167,Nile
93,0.5590470801743813,0.6453596953512774,0.6479950180610101,0.684696595311853,0.6577040055085548,0.6638722993435371,0.6577040055186765,Nile
94,0.5318014929087669,0.6204377648102711,0.6211625888723977,0.6569678884051635,0.6304816807156733,0.6354040723050303,0.6304816807237507,Nile
95,0.5393353356415586,0.6294500345612045,0.6305647486146877,0.6594814027741613,0.6380272208865656,0.6433395180875461,0.6380272208930114,Nile
96,0.5299136829109428,0.6186753994346242,0.6223983368913559,0.6485320738392186,0.6286053890048001,0.6329177147238119,0.628605389009944,Nile
97,0.5135910650808285,0.6012740590141915,0.6071575663588324,0.6319545050819502,0.6122752158347616,0.616407784678821,0.6122752158388666,Nile
98,0.4964574917086587,0.5824847748127,0.5907304129137019,0.6151050130811868,0.5951266453122812,0.6035779597876303,0.595126645315557,Nile
99,0.4854863449375034,0.5706284441235275,0.5790915758750098,0.6064425390752893,0.5841352061996548,0.5931346934521179,0.584135206202269,Nile
100,0.4631705675965369,0.5495779810343375,0.5573729729413763,0.5839846306918428,0.5617949994013256,0.5711562386824304,0.5617949994034117,Nile
101,0.4722181242052551,0.5577130879043891,0.5677084556213519,0.5911853490430005,0.5708147365451665,0.5799034953852965,0.5708147365468311,Nile
102,0.47743506070376296,0.5649050829826856,0.5681101840197801,0.5961640165644078,0.5760013283037276,0.585127833100182,0.576001328305056,Nile
103,0.507213106691748,0.5961621689055767,0.5991304460983813,0.6274564413405863,0.6057463768603069,0.614525373749859,0.6057463768613669,Nile
104,0.5242581630364174,0.6137755256063251,0.6156782162554223,0.64708570177923,0.6227575023779,0.6306518843741942,0.6227575023787459,Nile
105,0.5009571949639731,0.5897852814849329,0.594054053602564,0.6232441504191942,0.5994300968880671,0.607433074179046,0.5994300968887423,Nile
106,0.4933675182059432,0.5815592451813152,0.5811232949512697,0.6189087735023955,0.5918163214646548,0.599211095045451,0.5918163214651935,Nile
107,0.48759619344593413,0.5750079985619043,0.5767717498763976,0.6147309115131527,0.5860290632145986,0.5925497827225857,0.5860290632150285,Nile
108,0.455964211650428,0.5401767933909106,0.5470042720813278,0.582804321780087,0.5543835497096979,0.5608235823958012,0.5543835497100409,Nile
109,0.44071110610044145,0.5240599181821093,0.5330600897288782,0.5649294896406813,0.539120768644141,0.5445771332426861,0.5391207686444148,Nile
110,0.43442197494593976,0.5169846863993721,0.527733540126426,0.5572753118131373,0.532823109953305,0.5419435854072814,0.5328231099535234,Nile
111,0.42979037146050586,0.5126832139241786,0.52315835273698,0.5538638008650916,0.5281858141429738,0.5365426222157551,0.5281858141431481,Nile
112,0.4500669316176148,0.5312775745490518,0.5433677112043491,0.5719773402274975,0.5484579874752474,0.5569106006275977,0.5484579874753865,Nile
113,0.45205666019068136,0.5338432756091928,0.546220768738426,0.5717219109671282,0.5504434243731942,0.5598148792315216,0.5504434243733052,Nile
114,0.48232669611015494,0.5621348624340543,0.5770830542283776,0.601467945564121,0.5807111328427819,0.5905179307220709,0.5807111328428705,Nile
115,0.4581399982059727,0.5415249959575332,0.5536381682611187,0.5781507727212754,0.5565217968907419,0.5654059810785104,0.5565217968908125,Nile
116,0.4853574254667961,0.5677483294181391,0.5808424629352475,0.6070481627947479,0.5834693087128446,0.5913734929446595,0.583469308712901,Nile
117,0.43877473772283626,0.5203180623465654,0.5337030143738963,0.5614797384058371,0.5366712243744719,0.5448948639809246,0.5366712243745168,Nile
118,0.4003111495894747,0.4809083041827164,0.49462858112786234,0.5235557588068587,0.49776595757437664,0.506244527391899,0.4977659575744125,Nile
