,-10% population,-1K temperature,-10% precipitation,-10% EVI,-10% LWE thickness,-10% discharge,Model,Hotspot
51,0.13096050588761826,0.1756165589859453,-0.031863261958150785,0.28474524970810294,0.15917181001922437,0.15908929604853717,0.16027300726066226,USHighPlain
52,0.24164506800957264,0.28748197461583064,0.07496398248114279,0.39220727218591417,0.2706582218925709,0.27039705013555065,0.27167274454083296,USHighPlain
53,0.24995071237730182,0.2955158754780702,0.08230632291121061,0.41143052130066965,0.27975962826351225,0.27951250821151435,0.2806942984253197,USHighPlain
54,0.19667475806563958,0.24287433980596645,0.03436001617680734,0.365869095854006,0.22727382736999394,0.2269793998408052,0.22813493018802336,USHighPlain
55,0.24073354596174962,0.2882284140544969,0.08875379938492063,0.4149333955419157,0.27211760154764203,0.27174754045489824,0.27291092746465256,USHighPlain
56,0.34691424457353925,0.3952513760142168,0.20234824832819567,0.5165497115896364,0.37907852600667524,0.3785718377219805,0.37980940970305055,USHighPlain
57,0.40033241297873756,0.44848767166054493,0.2586794698016208,0.5602931823315547,0.4332725345158318,0.4328649229307714,0.43394589078237134,USHighPlain
58,0.4767476277708776,0.5251942212299953,0.34049257748897493,0.6293036874893075,0.5104595488679432,0.5101181128920101,0.5110799056551264,USHighPlain
59,0.5353329976036518,0.5839497792684432,0.379524678416637,0.6951741284544748,0.5698129957455644,0.5695696595575603,0.5703845246115271,USHighPlain
60,0.5895286389170245,0.6383061932091592,0.40727333031557766,0.7577025669750626,0.624773284585656,0.6245661273222517,0.6252998287476241,USHighPlain
61,0.6381822114177004,0.6883099601665176,0.44345530561488083,0.8069623433208871,0.674188345030296,0.6740298693672376,0.6746734452081073,USHighPlain
62,0.6270061866380459,0.6774765706122268,0.41844527773095325,0.8096708369301707,0.6637708973007684,0.6636566876068236,0.6642178155262654,USHighPlain
63,0.582857634992912,0.6342819583079063,0.35927052624119366,0.7786443040958373,0.6203782409266818,0.6202831622446452,0.6207899824790813,USHighPlain
64,0.5222137530727194,0.5745710548372187,0.294120949817311,0.7237205148137913,0.5604877835797255,0.5604577234823154,0.5608671171944688,USHighPlain
65,0.4931480776211579,0.5467869334609433,0.2645248574232387,0.6943966348045632,0.5321732564707742,0.5321494885944358,0.5325227329577491,USHighPlain
66,0.4418341111077828,0.496324823949687,0.21901879277872516,0.6460419792872952,0.48160834123016955,0.48162459888494447,0.48193031062650415,USHighPlain
