,r²,MAE,MSE,MBD,Scenario
Nile,-0.0173,0.2177,0.0662,0.18786049093270316,2
Nile,0.4725,0.1562,0.0343,0.038283622004984565,3
Nile,0.4994,0.1524,0.0326,0.017291635746191993,4
Nile,0.4796,0.1554,0.0339,-0.024408892894365406,5
Nile,0.4935,0.1535,0.033,0.010169803554392363,6
Nile,0.5041,0.1519,0.0323,-0.008071143815973328,7
Java,0.1398,0.2365,0.0838,-0.21484971313863832,2
Java,0.7411,0.1265,0.0252,0.011155005330581752,3
Java,0.7442,0.1306,0.0249,0.02118672489772665,4
Java,0.7368,0.1318,0.0256,0.016935439822451034,5
Java,0.7183,0.1335,0.0274,0.046619932573510284,6
Java,0.7181,0.1337,0.0274,0.04735129530440462,7
Japan,-0.8142,0.3287,0.1478,0.22924265099839472,2
Japan,0.0618,0.2337,0.0764,-0.07152899618083604,3
Japan,0.0278,0.2383,0.0792,-0.09607841293745649,4
Japan,0.1218,0.2207,0.0716,-0.010095661362431741,5
Japan,0.1141,0.2208,0.0722,-0.0027022335084022522,6
Japan,0.1186,0.2217,0.0718,-0.00742189798741573,7
Spain,0.2266,0.1922,0.0536,0.16605744255643054,2
Spain,0.4839,0.1507,0.0358,0.09180381963938299,3
Spain,0.5503,0.142,0.0312,0.06291022957900187,4
Spain,0.4973,0.1488,0.0348,0.08644559870475639,5
Spain,0.4898,0.1499,0.0354,0.0892990043456569,6
Spain,0.4728,0.1526,0.0365,0.09469699192181123,7
