,r²,MAE,MSE,MBD,Scenario
ArabianPeninsula,1.0,0.0004,0.0,-0.00044553506812481183,7
China,-0.1647,0.2665,0.0798,-0.26646218419150264,2
China,0.9993,0.007,0.0,0.006993987367040781,3
China,0.9654,0.0472,0.0024,0.04718061566416826,4
China,0.9998,0.004,0.0,-0.0040355411832006085,5
China,1.0,0.0,0.0,4.4289748075356606e-05,6
China,1.0,0.0,0.0,4.195451214102188e-06,7
Peru,0.8513,0.0685,0.0049,0.06852782367259475,2
Peru,0.9675,0.0296,0.0011,-0.029626531996720953,3
Peru,0.9843,0.0207,0.0005,0.020665401982382953,4
Peru,0.9949,0.0125,0.0002,0.01247030651613726,5
Peru,1.0,0.0,0.0,3.4382292249309588e-06,6
Peru,0.9997,0.0026,0.0,-0.002395969291210814,7
Nile,0.6579,0.0903,0.0084,-0.09027181071033082,2
Nile,0.9907,0.0149,0.0002,-0.014929916695205955,3
Nile,0.9995,0.0033,0.0,-0.0032987644620924347,4
Nile,0.9827,0.0203,0.0004,0.020319781540757795,5
Nile,1.0,0.0001,0.0,-6.744253626561749e-05,6
Nile,0.9883,0.0131,0.0003,0.013054641508725606,7
Java,0.6681,0.1366,0.0199,0.136580829700716,2
Java,0.9872,0.0256,0.0008,0.025620939269858756,3
Java,0.9967,0.0119,0.0002,0.01192088551822228,4
Java,0.995,0.0166,0.0003,0.01662851043332799,5
Java,1.0,0.0,0.0,6.7474044085574915e-06,6
Java,1.0,0.0009,0.0,-0.00031191524187681535,7
Japan,-3.3443,0.2084,0.0514,-0.20838495861262188,2
Japan,0.8864,0.0365,0.0013,0.03648602488410573,3
Japan,0.8294,0.0445,0.002,0.04448081309518442,4
Japan,0.9984,0.0043,0.0,0.004318401523337801,5
Japan,0.9999,0.0003,0.0,-0.0003049880818369091,6
Japan,0.999,0.0028,0.0,0.002117322472688061,7
Spain,0.9587,0.0406,0.0018,-0.040628064179775276,2
Spain,1.0,0.0013,0.0,-0.0013214237649261148,3
Spain,0.9957,0.0128,0.0002,0.012839956424857598,4
Spain,0.9999,0.0018,0.0,0.0017794480714419972,5
Spain,1.0,0.0,0.0,7.613874567157664e-06,6
Spain,0.9993,0.0048,0.0,-0.003222533355190268,7
