time,lwe_thickness,hotspot
April 2002,5.931934599994267,USHighPlain
May 2002,8.283788146025701,USHighPlain
June 2002,4.755713519980965,USHighPlain
July 2002,1.3414477528408968,USHighPlain
August 2002,-2.1866268732038403,USHighPlain
September 2002,-3.2228325631930734,USHighPlain
October 2002,-2.2519531687719088,USHighPlain
November 2002,-0.10976769232246639,USHighPlain
December 2002,0.8333245465155376,USHighPlain
January 2003,0.6852449096566414,USHighPlain
February 2003,1.7024040523631196,USHighPlain
March 2003,4.0176747636762915,USHighPlain
April 2003,3.5188520893572544,USHighPlain
May 2003,4.8660349608770606,USHighPlain
June 2003,2.085563738839167,USHighPlain
July 2003,-0.605214863132988,USHighPlain
August 2003,-5.092666922536984,USHighPlain
September 2003,-5.206744373844796,USHighPlain
October 2003,-5.400633346430237,USHighPlain
November 2003,-4.911081993466133,USHighPlain
December 2003,-2.9548977280658337,USHighPlain
January 2004,-1.5006929142194805,USHighPlain
February 2004,-0.4313955489956459,USHighPlain
March 2004,1.5252282556804826,USHighPlain
April 2004,1.7764509804661877,USHighPlain
May 2004,0.3172870104606428,USHighPlain
June 2004,0.1047852600802112,USHighPlain
July 2004,-0.03227206711439931,USHighPlain
August 2004,-2.4020022461904484,USHighPlain
September 2004,-4.639256504649954,USHighPlain
October 2004,-3.5328970350584195,USHighPlain
November 2004,-0.8690571838285223,USHighPlain
December 2004,0.7496633466694874,USHighPlain
January 2005,3.4773124556776147,USHighPlain
February 2005,4.969884023015634,USHighPlain
March 2005,3.8249085462499965,USHighPlain
April 2005,5.0647607248888145,USHighPlain
May 2005,2.589928534734249,USHighPlain
June 2005,2.1957976227911327,USHighPlain
July 2005,-2.5042746599841754,USHighPlain
August 2005,-4.16818117712351,USHighPlain
September 2005,-6.531697970461111,USHighPlain
October 2005,-6.419706467850777,USHighPlain
November 2005,-7.076081819543887,USHighPlain
December 2005,-5.481715384828328,USHighPlain
January 2006,-4.729007855936293,USHighPlain
February 2006,-4.854628159199575,USHighPlain
March 2006,-4.705626398869551,USHighPlain
April 2006,-1.3994159365759942,USHighPlain
May 2006,-2.8795142276509007,USHighPlain
June 2006,-5.679943659743669,USHighPlain
July 2006,-9.02102840726987,USHighPlain
August 2006,-10.232853568916015,USHighPlain
September 2006,-10.012065936382683,USHighPlain
October 2006,-8.863400870438324,USHighPlain
November 2006,-8.371307153603285,USHighPlain
December 2006,-5.295686771335113,USHighPlain
January 2007,-1.3688125373496682,USHighPlain
February 2007,0.04765718220943602,USHighPlain
March 2007,0.16830343858261088,USHighPlain
April 2007,4.287698606510441,USHighPlain
May 2007,5.238635082412803,USHighPlain
June 2007,4.761339053293584,USHighPlain
July 2007,2.409737902003221,USHighPlain
August 2007,-1.5738313266995518,USHighPlain
September 2007,-2.9717887459017787,USHighPlain
October 2007,-1.4872998018418313,USHighPlain
November 2007,-2.4034105146950138,USHighPlain
December 2007,0.825160300581007,USHighPlain
January 2008,1.8822427314664532,USHighPlain
February 2008,2.3267994687729856,USHighPlain
March 2008,4.594512404789052,USHighPlain
April 2008,4.332054908957257,USHighPlain
May 2008,5.670511137641784,USHighPlain
June 2008,6.0556604282823185,USHighPlain
July 2008,2.370799942898726,USHighPlain
August 2008,-0.2808823839851934,USHighPlain
September 2008,0.1129617072966152,USHighPlain
October 2008,0.44735224680564933,USHighPlain
November 2008,2.0080798655171903,USHighPlain
December 2008,2.902240673303002,USHighPlain
January 2009,4.680396015821273,USHighPlain
February 2009,3.901067485156297,USHighPlain
March 2009,4.376359197174817,USHighPlain
April 2009,7.066884412915977,USHighPlain
May 2009,7.756805114655936,USHighPlain
June 2009,6.813078925053118,USHighPlain
July 2009,2.6476200505656085,USHighPlain
August 2009,0.9065003186178693,USHighPlain
September 2009,0.44701623092641746,USHighPlain
October 2009,3.6089523926138782,USHighPlain
November 2009,4.83658591035572,USHighPlain
December 2009,7.640715340347495,USHighPlain
January 2010,8.900999603530032,USHighPlain
February 2010,10.658943479665583,USHighPlain
March 2010,11.37675575679824,USHighPlain
April 2010,11.469470931693854,USHighPlain
May 2010,11.747839602949854,USHighPlain
June 2010,9.759424452264192,USHighPlain
July 2010,7.654060395269521,USHighPlain
August 2010,5.527164174094719,USHighPlain
September 2010,3.025840690013219,USHighPlain
October 2010,0.7518214672077053,USHighPlain
November 2010,1.7797853872960234,USHighPlain
December 2010,2.339139045279891,USHighPlain
January 2011,3.8112235462069375,USHighPlain
February 2011,5.283308047133984,USHighPlain
March 2011,5.549415592383928,USHighPlain
April 2011,6.854688325444292,USHighPlain
May 2011,6.24837129089094,USHighPlain
June 2011,4.437679031595406,USHighPlain
July 2011,2.685396200019083,USHighPlain
August 2011,-1.1450995346512016,USHighPlain
September 2011,-3.2380873290993306,USHighPlain
October 2011,-4.882278271387163,USHighPlain
November 2011,-4.885474401772644,USHighPlain
December 2011,-2.2537632357873076,USHighPlain
January 2012,0.4656716357308728,USHighPlain
January 2012,0.802858947530782,USHighPlain
February 2012,1.0041634005654216,USHighPlain
March 2012,3.149390763896356,USHighPlain
April 2012,3.0286748694318297,USHighPlain
May 2012,0.7580565998614546,USHighPlain
June 2012,-1.5882489453612663,USHighPlain
July 2012,-8.439428861069619,USHighPlain
August 2012,-11.41580138839122,USHighPlain
September 2012,-13.282195580957943,USHighPlain
October 2012,-13.172274074439489,USHighPlain
November 2012,-13.058688517703752,USHighPlain
December 2012,-12.732863247272464,USHighPlain
January 2013,-11.19714050486175,USHighPlain
February 2013,-9.264582153654231,USHighPlain
March 2013,-7.5960402266705,USHighPlain
