time,tp,hotspot
December 1962,0.12652683,USHighPlain
January 1963,0.14787237,USHighPlain
February 1963,0.093653075,USHighPlain
March 1963,0.38350815,USHighPlain
April 1963,0.3381222,USHighPlain
May 1963,0.5515611,USHighPlain
June 1963,0.5289415,USHighPlain
July 1963,0.41059703,USHighPlain
August 1963,0.43131524,USHighPlain
September 1963,0.60749406,USHighPlain
October 1963,0.17501375,USHighPlain
November 1963,0.15970734,USHighPlain
December 1963,0.095620915,USHighPlain
January 1964,0.0768209,USHighPlain
February 1964,0.2603463,USHighPlain
March 1964,0.31470376,USHighPlain
April 1964,0.6328944,USHighPlain
May 1964,0.5135162,USHighPlain
June 1964,0.54960436,USHighPlain
July 1964,0.18841316,USHighPlain
August 1964,0.46479142,USHighPlain
September 1964,0.40133524,USHighPlain
October 1964,0.0878074,USHighPlain
November 1964,0.31247887,USHighPlain
December 1964,0.16417935,USHighPlain
January 1965,0.19134016,USHighPlain
February 1965,0.26865453,USHighPlain
March 1965,0.2557057,USHighPlain
April 1965,0.41716135,USHighPlain
May 1965,0.7290722,USHighPlain
June 1965,1.1050973,USHighPlain
July 1965,0.33246452,USHighPlain
August 1965,0.46335146,USHighPlain
September 1965,0.8815066,USHighPlain
October 1965,0.27958018,USHighPlain
November 1965,0.091834456,USHighPlain
December 1965,0.2656226,USHighPlain
January 1966,0.15894175,USHighPlain
February 1966,0.23743084,USHighPlain
March 1966,0.15984559,USHighPlain
April 1966,0.39116135,USHighPlain
May 1966,0.18534245,USHighPlain
June 1966,0.5257575,USHighPlain
July 1966,0.35169572,USHighPlain
August 1966,0.5608506,USHighPlain
September 1966,0.39311266,USHighPlain
October 1966,0.15506405,USHighPlain
November 1966,0.05897171,USHighPlain
December 1966,0.1934047,USHighPlain
January 1967,0.12095202,USHighPlain
February 1967,0.08130123,USHighPlain
March 1967,0.17889154,USHighPlain
April 1967,0.52345514,USHighPlain
May 1967,0.66918427,USHighPlain
June 1967,1.2679846,USHighPlain
July 1967,0.49293903,USHighPlain
August 1967,0.24890924,USHighPlain
September 1967,0.5053986,USHighPlain
October 1967,0.3388464,USHighPlain
November 1967,0.1087411,USHighPlain
December 1967,0.23153818,USHighPlain
January 1968,0.15465498,USHighPlain
February 1968,0.14338928,USHighPlain
March 1968,0.18361506,USHighPlain
April 1968,0.53557205,USHighPlain
May 1968,0.71078086,USHighPlain
June 1968,0.45440474,USHighPlain
July 1968,0.44652212,USHighPlain
August 1968,0.5947139,USHighPlain
September 1968,0.28927588,USHighPlain
October 1968,0.40252656,USHighPlain
November 1968,0.292565,USHighPlain
December 1968,0.2896048,USHighPlain
January 1969,0.17524874,USHighPlain
February 1969,0.34898436,USHighPlain
March 1969,0.39719492,USHighPlain
April 1969,0.5216337,USHighPlain
May 1969,0.70703304,USHighPlain
June 1969,0.7089318,USHighPlain
July 1969,0.4459279,USHighPlain
August 1969,0.47130877,USHighPlain
September 1969,0.4393167,USHighPlain
October 1969,0.7139953,USHighPlain
November 1969,0.08004913,USHighPlain
December 1969,0.21666564,USHighPlain
January 1970,0.06155043,USHighPlain
February 1970,0.09659108,USHighPlain
March 1970,0.38128322,USHighPlain
April 1970,0.62978774,USHighPlain
May 1970,0.442321,USHighPlain
June 1970,0.55196744,USHighPlain
July 1970,0.22067887,USHighPlain
August 1970,0.26480442,USHighPlain
September 1970,0.6263908,USHighPlain
October 1970,0.4580559,USHighPlain
November 1970,0.17651454,USHighPlain
December 1970,0.11513957,USHighPlain
January 1971,0.17851019,USHighPlain
February 1971,0.46944588,USHighPlain
March 1971,0.18931694,USHighPlain
April 1971,0.48834535,USHighPlain
May 1971,0.72607344,USHighPlain
June 1971,0.48605144,USHighPlain
July 1971,0.4499383,USHighPlain
August 1971,0.2311319,USHighPlain
September 1971,0.4634731,USHighPlain
October 1971,0.4828812,USHighPlain
November 1971,0.36979368,USHighPlain
December 1971,0.23282889,USHighPlain
January 1972,0.102505736,USHighPlain
February 1972,0.08037805,USHighPlain
March 1972,0.17190439,USHighPlain
April 1972,0.5203098,USHighPlain
May 1972,0.74690485,USHighPlain
June 1972,0.49725068,USHighPlain
July 1972,0.6838356,USHighPlain
August 1972,0.5145803,USHighPlain
September 1972,0.46143332,USHighPlain
October 1972,0.38430133,USHighPlain
November 1972,0.5842995,USHighPlain
December 1972,0.22453728,USHighPlain
January 1973,0.31831342,USHighPlain
February 1973,0.211254,USHighPlain
March 1973,1.2183616,USHighPlain
April 1973,0.66268075,USHighPlain
May 1973,0.58211875,USHighPlain
June 1973,0.38342243,USHighPlain
July 1973,0.78937215,USHighPlain
August 1973,0.15937573,USHighPlain
September 1973,1.21879,USHighPlain
October 1973,0.441257,USHighPlain
November 1973,0.32742316,USHighPlain
December 1973,0.4191347,USHighPlain
January 1974,0.13877088,USHighPlain
February 1974,0.14193273,USHighPlain
March 1974,0.3224067,USHighPlain
April 1974,0.5330292,USHighPlain
May 1974,0.58139735,USHighPlain
June 1974,0.5410086,USHighPlain
July 1974,0.14347501,USHighPlain
August 1974,0.71089697,USHighPlain
September 1974,0.3452862,USHighPlain
October 1974,0.48622555,USHighPlain
November 1974,0.22498494,USHighPlain
December 1974,0.18187381,USHighPlain
January 1975,0.19517356,USHighPlain
February 1975,0.27003646,USHighPlain
March 1975,0.36842835,USHighPlain
April 1975,0.49869055,USHighPlain
May 1975,0.7653705,USHighPlain
June 1975,0.7860443,USHighPlain
July 1975,0.26972133,USHighPlain
August 1975,0.35281783,USHighPlain
September 1975,0.2883915,USHighPlain
October 1975,0.063620664,USHighPlain
November 1975,0.58732325,USHighPlain
December 1975,0.14468834,USHighPlain
January 1976,0.1050652,USHighPlain
February 1976,0.15676096,USHighPlain
March 1976,0.36253014,USHighPlain
April 1976,0.80411196,USHighPlain
May 1976,0.6196663,USHighPlain
June 1976,0.36033285,USHighPlain
July 1976,0.40671378,USHighPlain
August 1976,0.22790638,USHighPlain
September 1976,0.51983446,USHighPlain
October 1976,0.31999657,USHighPlain
November 1976,0.07970092,USHighPlain
December 1976,0.047161706,USHighPlain
January 1977,0.13934849,USHighPlain
February 1977,0.14797461,USHighPlain
March 1977,0.5882851,USHighPlain
April 1977,0.77087337,USHighPlain
May 1977,0.9188247,USHighPlain
June 1977,0.5825831,USHighPlain
July 1977,0.37828985,USHighPlain
August 1977,0.92959285,USHighPlain
September 1977,0.48758537,USHighPlain
October 1977,0.30025414,USHighPlain
November 1977,0.3007047,USHighPlain
December 1977,0.11466968,USHighPlain
January 1978,0.14681926,USHighPlain
February 1978,0.3870017,USHighPlain
March 1978,0.24377117,USHighPlain
April 1978,0.59419703,USHighPlain
May 1978,0.9768194,USHighPlain
June 1978,0.52456075,USHighPlain
July 1978,0.42186543,USHighPlain
August 1978,0.36104873,USHighPlain
September 1978,0.41800976,USHighPlain
October 1978,0.12983796,USHighPlain
November 1978,0.38662034,USHighPlain
December 1978,0.19897681,USHighPlain
January 1979,0.28347173,USHighPlain
February 1979,0.12124773,USHighPlain
March 1979,0.6994599,USHighPlain
April 1979,0.50975454,USHighPlain
May 1979,0.71361107,USHighPlain
June 1979,0.70962,USHighPlain
July 1979,0.7863347,USHighPlain
August 1979,0.44405955,USHighPlain
September 1979,0.15862945,USHighPlain
October 1979,0.6132651,USHighPlain
November 1979,0.3228214,USHighPlain
December 1979,0.12808844,USHighPlain
January 1980,0.3853268,USHighPlain
February 1980,0.3604876,USHighPlain
March 1980,0.6834735,USHighPlain
April 1980,0.4371746,USHighPlain
May 1980,0.6611219,USHighPlain
June 1980,0.47275972,USHighPlain
July 1980,0.14714547,USHighPlain
August 1980,0.5002993,USHighPlain
September 1980,0.3104971,USHighPlain
October 1980,0.3107569,USHighPlain
November 1980,0.16142929,USHighPlain
December 1980,0.21143642,USHighPlain
January 1981,0.104725204,USHighPlain
February 1981,0.11524179,USHighPlain
March 1981,0.5316446,USHighPlain
April 1981,0.35596588,USHighPlain
May 1981,1.0053622,USHighPlain
June 1981,0.5889815,USHighPlain
July 1981,0.73099035,USHighPlain
August 1981,0.598984,USHighPlain
September 1981,0.33174595,USHighPlain
October 1981,0.6036467,USHighPlain
November 1981,0.48278168,USHighPlain
December 1981,0.14352201,USHighPlain
January 1982,0.23386817,USHighPlain
February 1982,0.23602399,USHighPlain
March 1982,0.35495162,USHighPlain
April 1982,0.4011612,USHighPlain
May 1982,1.3553624,USHighPlain
June 1982,0.8785961,USHighPlain
July 1982,0.61784756,USHighPlain
August 1982,0.44043326,USHighPlain
September 1982,0.45446557,USHighPlain
October 1982,0.3891161,USHighPlain
November 1982,0.3502889,USHighPlain
December 1982,0.4050693,USHighPlain
January 1983,0.23550165,USHighPlain
February 1983,0.35849765,USHighPlain
March 1983,0.68335193,USHighPlain
April 1983,0.5872513,USHighPlain
May 1983,0.8296255,USHighPlain
June 1983,0.90309256,USHighPlain
July 1983,0.19463466,USHighPlain
August 1983,0.250656,USHighPlain
September 1983,0.3724387,USHighPlain
October 1983,0.6168582,USHighPlain
November 1983,0.60711545,USHighPlain
December 1983,0.2561645,USHighPlain
January 1984,0.14975731,USHighPlain
February 1984,0.29656988,USHighPlain
March 1984,0.67492485,USHighPlain
April 1984,1.0541062,USHighPlain
May 1984,0.5587362,USHighPlain
June 1984,0.73064774,USHighPlain
July 1984,0.28700405,USHighPlain
August 1984,0.31261146,USHighPlain
September 1984,0.28547564,USHighPlain
October 1984,0.77177167,USHighPlain
November 1984,0.24411388,USHighPlain
December 1984,0.47756064,USHighPlain
January 1985,0.23179251,USHighPlain
February 1985,0.29483694,USHighPlain
March 1985,0.41473734,USHighPlain
April 1985,0.6632971,USHighPlain
May 1985,0.54156417,USHighPlain
June 1985,0.66726327,USHighPlain
July 1985,0.49032712,USHighPlain
August 1985,0.51835304,USHighPlain
September 1985,0.91946316,USHighPlain
October 1985,0.61598474,USHighPlain
November 1985,0.45981926,USHighPlain
December 1985,0.18502739,USHighPlain
January 1986,0.016034774,USHighPlain
February 1986,0.29559138,USHighPlain
March 1986,0.3391283,USHighPlain
April 1986,0.70429397,USHighPlain
May 1986,0.8562114,USHighPlain
June 1986,0.67464006,USHighPlain
July 1986,0.47100192,USHighPlain
August 1986,0.7604314,USHighPlain
September 1986,0.8913295,USHighPlain
October 1986,0.7529081,USHighPlain
November 1986,0.33507922,USHighPlain
December 1986,0.21905087,USHighPlain
January 1987,0.21232909,USHighPlain
February 1987,0.50707906,USHighPlain
March 1987,0.84663445,USHighPlain
April 1987,0.27904406,USHighPlain
May 1987,0.9106325,USHighPlain
June 1987,0.6004213,USHighPlain
July 1987,0.38468826,USHighPlain
August 1987,0.72424924,USHighPlain
September 1987,0.4867368,USHighPlain
October 1987,0.2924434,USHighPlain
November 1987,0.379951,USHighPlain
December 1987,0.39629114,USHighPlain
January 1988,0.23788406,USHighPlain
February 1988,0.15023828,USHighPlain
March 1988,0.34366935,USHighPlain
April 1988,0.58737016,USHighPlain
May 1988,0.7338593,USHighPlain
June 1988,0.42469013,USHighPlain
July 1988,0.5318546,USHighPlain
August 1988,0.36620608,USHighPlain
September 1988,0.7493178,USHighPlain
October 1988,0.14640744,USHighPlain
November 1988,0.25888136,USHighPlain
December 1988,0.1407332,USHighPlain
January 1989,0.1741736,USHighPlain
February 1989,0.2686407,USHighPlain
March 1989,0.2618609,USHighPlain
April 1989,0.17194307,USHighPlain
May 1989,0.72791964,USHighPlain
June 1989,1.0093834,USHighPlain
July 1989,0.4025928,USHighPlain
August 1989,0.66638714,USHighPlain
September 1989,0.6429742,USHighPlain
October 1989,0.22589979,USHighPlain
November 1989,0.035334997,USHighPlain
December 1989,0.1363249,USHighPlain
January 1990,0.24507575,USHighPlain
February 1990,0.36033842,USHighPlain
March 1990,0.7176656,USHighPlain
April 1990,0.45966172,USHighPlain
May 1990,0.9619,USHighPlain
June 1990,0.5170899,USHighPlain
July 1990,0.5125378,USHighPlain
August 1990,0.4292561,USHighPlain
September 1990,0.38304928,USHighPlain
October 1990,0.29686007,USHighPlain
November 1990,0.38655952,USHighPlain
December 1990,0.24209347,USHighPlain
January 1991,0.19569045,USHighPlain
February 1991,0.07308961,USHighPlain
March 1991,0.38185534,USHighPlain
April 1991,0.5867373,USHighPlain
May 1991,0.88841903,USHighPlain
June 1991,0.55360097,USHighPlain
July 1991,0.39575768,USHighPlain
August 1991,0.42991117,USHighPlain
September 1991,0.42739326,USHighPlain
October 1991,0.42690128,USHighPlain
November 1991,0.45717415,USHighPlain
December 1991,0.3986156,USHighPlain
January 1992,0.2452443,USHighPlain
February 1992,0.24993743,USHighPlain
March 1992,0.535503,USHighPlain
April 1992,0.32772726,USHighPlain
May 1992,0.5599358,USHighPlain
June 1992,0.9531605,USHighPlain
July 1992,0.8282049,USHighPlain
August 1992,0.6569264,USHighPlain
September 1992,0.32703072,USHighPlain
October 1992,0.3579283,USHighPlain
November 1992,0.5620446,USHighPlain
December 1992,0.29065788,USHighPlain
January 1993,0.33020365,USHighPlain
February 1993,0.4591642,USHighPlain
March 1993,0.42734343,USHighPlain
April 1993,0.6117615,USHighPlain
May 1993,1.0361713,USHighPlain
June 1993,0.8932973,USHighPlain
July 1993,1.1592253,USHighPlain
August 1993,0.7211206,USHighPlain
September 1993,0.68190366,USHighPlain
October 1993,0.33775738,USHighPlain
November 1993,0.23164599,USHighPlain
December 1993,0.15583512,USHighPlain
January 1994,0.18423417,USHighPlain
February 1994,0.21287644,USHighPlain
March 1994,0.15835576,USHighPlain
April 1994,0.6622911,USHighPlain
May 1994,0.41022116,USHighPlain
June 1994,0.4698522,USHighPlain
July 1994,0.7084923,USHighPlain
August 1994,0.43144235,USHighPlain
September 1994,0.28491727,USHighPlain
October 1994,0.44265544,USHighPlain
November 1994,0.40744898,USHighPlain
December 1994,0.23047689,USHighPlain
January 1995,0.1626509,USHighPlain
February 1995,0.10553225,USHighPlain
March 1995,0.46658796,USHighPlain
April 1995,0.72529674,USHighPlain
May 1995,1.4566729,USHighPlain
June 1995,0.8597796,USHighPlain
July 1995,0.5251355,USHighPlain
August 1995,0.44065714,USHighPlain
September 1995,0.5321586,USHighPlain
October 1995,0.24052638,USHighPlain
November 1995,0.1162645,USHighPlain
December 1995,0.15409663,USHighPlain
January 1996,0.16053653,USHighPlain
February 1996,0.051395863,USHighPlain
March 1996,0.24438754,USHighPlain
April 1996,0.3211409,USHighPlain
May 1996,1.0295821,USHighPlain
June 1996,0.66038394,USHighPlain
July 1996,0.72445107,USHighPlain
August 1996,0.80598307,USHighPlain
September 1996,0.75501144,USHighPlain
October 1996,0.24106808,USHighPlain
November 1996,0.4534098,USHighPlain
December 1996,0.06419547,USHighPlain
January 1997,0.096593775,USHighPlain
February 1997,0.4327773,USHighPlain
March 1997,0.15193799,USHighPlain
April 1997,0.7468165,USHighPlain
May 1997,0.5996087,USHighPlain
June 1997,0.6514648,USHighPlain
July 1997,0.43122676,USHighPlain
August 1997,0.6607681,USHighPlain
September 1997,0.47275144,USHighPlain
October 1997,0.58812195,USHighPlain
November 1997,0.19963175,USHighPlain
December 1997,0.3463282,USHighPlain
January 1998,0.1581651,USHighPlain
February 1998,0.25851935,USHighPlain
March 1998,0.6465672,USHighPlain
April 1998,0.471704,USHighPlain
May 1998,0.48466387,USHighPlain
June 1998,0.61095726,USHighPlain
July 1998,0.68887144,USHighPlain
August 1998,0.34153005,USHighPlain
September 1998,0.33247286,USHighPlain
October 1998,0.819037,USHighPlain
November 1998,0.5394746,USHighPlain
December 1998,0.13912463,USHighPlain
January 1999,0.26614213,USHighPlain
February 1999,0.15290819,USHighPlain
March 1999,0.38146013,USHighPlain
April 1999,0.95984095,USHighPlain
May 1999,0.86270934,USHighPlain
June 1999,0.9563556,USHighPlain
July 1999,0.37047362,USHighPlain
August 1999,0.47955346,USHighPlain
September 1999,0.48974672,USHighPlain
October 1999,0.12750252,USHighPlain
November 1999,0.086934105,USHighPlain
December 1999,0.20452388,USHighPlain
January 2000,0.111057304,USHighPlain
February 2000,0.2723001,USHighPlain
March 2000,0.6355615,USHighPlain
April 2000,0.45539978,USHighPlain
May 2000,0.5256773,USHighPlain
June 2000,0.76480395,USHighPlain
July 2000,0.54315066,USHighPlain
August 2000,0.12134451,USHighPlain
September 2000,0.17166397,USHighPlain
October 2000,0.6269242,USHighPlain
November 2000,0.3171415,USHighPlain
December 2000,0.17926188,USHighPlain
January 2001,0.29248753,USHighPlain
February 2001,0.48827356,USHighPlain
March 2001,0.35303903,USHighPlain
April 2001,0.61419654,USHighPlain
May 2001,0.9463171,USHighPlain
June 2001,0.5284772,USHighPlain
July 2001,0.42209208,USHighPlain
August 2001,0.38110358,USHighPlain
September 2001,0.54241264,USHighPlain
October 2001,0.23887075,USHighPlain
November 2001,0.29643443,USHighPlain
December 2001,0.11932683,USHighPlain
January 2002,0.1881257,USHighPlain
February 2002,0.106803656,USHighPlain
March 2002,0.27152345,USHighPlain
April 2002,0.4544739,USHighPlain
May 2002,0.6132431,USHighPlain
June 2002,0.39036816,USHighPlain
July 2002,0.30063,USHighPlain
August 2002,0.459482,USHighPlain
September 2002,0.30514622,USHighPlain
October 2002,0.68540823,USHighPlain
November 2002,0.08230175,USHighPlain
December 2002,0.15784995,USHighPlain
January 2003,0.07435835,USHighPlain
February 2003,0.24656275,USHighPlain
March 2003,0.34998205,USHighPlain
April 2003,0.5845096,USHighPlain
May 2003,0.6770447,USHighPlain
June 2003,0.8712885,USHighPlain
July 2003,0.14871538,USHighPlain
August 2003,0.4046243,USHighPlain
September 2003,0.4454056,USHighPlain
October 2003,0.1561364,USHighPlain
November 2003,0.20275772,USHighPlain
December 2003,0.16226667,USHighPlain
January 2004,0.18418995,USHighPlain
February 2004,0.31770256,USHighPlain
March 2004,0.4403918,USHighPlain
April 2004,0.5213988,USHighPlain
May 2004,0.47139168,USHighPlain
June 2004,0.8429668,USHighPlain
July 2004,0.6734185,USHighPlain
August 2004,0.35397315,USHighPlain
September 2004,0.4604025,USHighPlain
October 2004,0.40072447,USHighPlain
November 2004,0.5701815,USHighPlain
December 2004,0.06623801,USHighPlain
January 2005,0.2877282,USHighPlain
February 2005,0.28964633,USHighPlain
March 2005,0.33022305,USHighPlain
April 2005,0.49928764,USHighPlain
May 2005,0.5885669,USHighPlain
June 2005,0.8106762,USHighPlain
July 2005,0.3735167,USHighPlain
August 2005,0.65679646,USHighPlain
September 2005,0.22981635,USHighPlain
October 2005,0.35803887,USHighPlain
November 2005,0.20112711,USHighPlain
December 2005,0.088338144,USHighPlain
January 2006,0.09727928,USHighPlain
February 2006,0.06334417,USHighPlain
March 2006,0.502046,USHighPlain
April 2006,0.45990768,USHighPlain
May 2006,0.39995325,USHighPlain
June 2006,0.40520743,USHighPlain
July 2006,0.36321014,USHighPlain
August 2006,0.6725976,USHighPlain
September 2006,0.49309376,USHighPlain
October 2006,0.35516438,USHighPlain
November 2006,0.121648535,USHighPlain
December 2006,0.54338557,USHighPlain
January 2007,0.19995517,USHighPlain
February 2007,0.22208288,USHighPlain
March 2007,0.6343646,USHighPlain
April 2007,0.63080204,USHighPlain
May 2007,0.9276194,USHighPlain
June 2007,0.7236521,USHighPlain
July 2007,0.3969517,USHighPlain
August 2007,0.46876875,USHighPlain
September 2007,0.32047752,USHighPlain
October 2007,0.45370272,USHighPlain
November 2007,0.04686308,USHighPlain
December 2007,0.40444466,USHighPlain
January 2008,0.086624496,USHighPlain
February 2008,0.23323521,USHighPlain
March 2008,0.3423454,USHighPlain
April 2008,0.6130329,USHighPlain
May 2008,0.89094526,USHighPlain
June 2008,0.6723516,USHighPlain
July 2008,0.39693236,USHighPlain
August 2008,0.5133725,USHighPlain
September 2008,0.59029436,USHighPlain
October 2008,0.7483255,USHighPlain
November 2008,0.17022124,USHighPlain
December 2008,0.14251867,USHighPlain
January 2009,0.07323893,USHighPlain
February 2009,0.17603096,USHighPlain
March 2009,0.32179588,USHighPlain
April 2009,0.7547046,USHighPlain
May 2009,0.48655993,USHighPlain
June 2009,0.8719435,USHighPlain
July 2009,0.5126566,USHighPlain
August 2009,0.5473186,USHighPlain
September 2009,0.43438035,USHighPlain
October 2009,0.8120637,USHighPlain
