,r²,MAE,MSE,MBD,Scenario
ArabianPeninsula,0.9999,0.0022,0.0,0.0021745050337726086,7
China,0.5117,0.1825,0.0377,0.18246969723560527,2
China,0.9883,0.0298,0.0009,-0.02982098397914432,3
China,0.9535,0.0584,0.0036,-0.05843832727602582,4
China,0.9794,0.0382,0.0016,0.038212827030322825,5
China,1.0,0.0001,0.0,-7.331937635368657e-05,6
China,0.9999,0.0019,0.0,0.0012300940328397265,7
Peru,0.8832,0.0811,0.0068,-0.08113174320965451,2
Peru,0.9939,0.0175,0.0004,0.01749864532895388,3
Peru,0.9855,0.0257,0.0008,-0.025691440220926478,4
Peru,0.9899,0.0223,0.0006,-0.022265084434459678,5
Peru,1.0,0.0,0.0,-2.3837379185078107e-07,6
Peru,1.0,0.0013,0.0,0.001302243650372546,7
Nile,0.8791,0.057,0.0034,0.05703372340161311,2
Nile,0.9278,0.0447,0.002,0.04470229936852383,3
Nile,0.996,0.0098,0.0001,0.009784538967781807,4
Nile,0.9911,0.0153,0.0003,-0.01529176558616493,5
Nile,1.0,0.0,0.0,3.8043573854215315e-05,6
Nile,0.9968,0.008,0.0001,-0.007989730945614214,7
Java,0.6217,0.1353,0.0194,-0.13531097235011932,2
Java,0.9965,0.0127,0.0002,0.012730457736198835,3
Java,0.9915,0.0192,0.0004,-0.019190907479304947,4
Java,0.9921,0.0193,0.0004,-0.01933261683053188,5
Java,1.0,0.0,0.0,-1.9212618722803974e-05,6
Java,1.0,0.0002,0.0,9.958545391185535e-06,7
Japan,-0.3623,0.2029,0.0518,0.20289028130914225,2
Japan,0.8385,0.0777,0.0061,-0.0776855323692928,3
Japan,0.8971,0.0621,0.0039,-0.062092090029746555,4
Japan,0.1455,0.173,0.0325,0.17303994488655408,5
Japan,1.0,0.0001,0.0,0.00013434586787737447,6
Japan,0.9995,0.0034,0.0,-0.0027414822007316908,7
Spain,0.9539,0.0506,0.0027,0.05059344852284331,2
Spain,1.0,0.0006,0.0,0.0006086265304857622,3
Spain,0.991,0.0221,0.0005,-0.022138472226111438,4
Spain,1.0,0.0008,0.0,0.0007720261280429276,5
Spain,1.0,0.0,0.0,-6.136274747557002e-06,6
Spain,0.9996,0.0038,0.0,0.0016156825141761823,7
