,r²,MAE,MSE,MBD,Scenario
USHighPlain,0.6001,0.138,0.0303,-0.11620855152491417,2
USHighPlain,0.7197,0.1209,0.0212,-0.043082369803929814,3
USHighPlain,0.745,0.1194,0.0193,0.03181194315685003,4
USHighPlain,0.6431,0.1318,0.027,-0.08696708344733421,5
USHighPlain,0.7147,0.1214,0.0216,-0.045696248865786895,6
USHighPlain,0.7167,0.1206,0.0214,-0.047787623621203805,7
Greece,-0.0552,0.2256,0.0749,0.2141866796238035,2
Greece,0.6514,0.1336,0.0248,0.03930093469852117,3
Greece,0.5404,0.1451,0.0326,0.09482206942368725,4
Greece,0.6322,0.136,0.0261,0.05211069120078973,5
Greece,0.6267,0.1367,0.0265,0.055529791320401096,6
Greece,0.627,0.1366,0.0265,0.0560717766038688,7
Sudan,0.7759,0.1159,0.018,0.08369794148207581,2
Sudan,0.8533,0.0864,0.0118,-0.01912158310398318,3
Sudan,0.8596,0.0871,0.0113,-0.008490466620905095,4
Sudan,0.8588,0.0916,0.0114,0.01768703621954799,5
Sudan,0.8559,0.0867,0.0116,-0.014536605556799044,6
Sudan,0.8558,0.0867,0.0116,-0.014751179980439856,7
Indus,0.6536,0.1403,0.029,-0.12456813545010087,2
Indus,0.8441,0.091,0.013,-0.014047115101057642,3
Indus,0.8435,0.0917,0.0131,0.010137101631819998,4
Indus,0.8445,0.0895,0.013,0.018663365880642862,5
Indus,0.8443,0.091,0.013,-0.01323113086604157,6
Indus,0.8445,0.091,0.013,-0.013629528218839268,7
Ganges,0.5541,0.169,0.0434,-0.1562152804815751,2
Ganges,0.7954,0.1203,0.0199,-0.03605877029277305,3
Ganges,0.7879,0.1161,0.0206,0.05158929646855543,4
Ganges,0.7752,0.1188,0.0219,0.054412216711706624,5
Ganges,0.8182,0.112,0.0177,-0.00698170228504014,6
Ganges,0.8166,0.1122,0.0178,-0.005053112830986145,7
Turkey,-0.3391,0.2859,0.1136,-0.28271558525447177,2
Turkey,0.8011,0.1022,0.0169,0.007770065132029055,3
Turkey,0.7741,0.1108,0.0192,0.04139204071917435,4
Turkey,0.7925,0.1026,0.0176,-0.026097867964983517,5
Turkey,0.8011,0.1018,0.0169,-0.005942154231448611,6
Turkey,0.8022,0.1013,0.0168,-0.00543800158303978,7
Italy,0.4159,0.1867,0.0523,-0.10906370557340841,2
Italy,0.637,0.1429,0.0325,-0.011709954093035527,3
Italy,0.596,0.1546,0.0362,0.06483624338699295,4
Italy,0.6379,0.1433,0.0324,0.016705337463695052,5
Italy,0.638,0.1433,0.0324,0.018077009155945144,6
Italy,0.6387,0.143,0.0323,0.017879189072631814,7
California,0.6506,0.1212,0.024,-0.07871763672114329,2
California,0.7282,0.1137,0.0187,0.06816608465385202,3
California,0.6806,0.1232,0.022,0.0857872555037116,4
California,0.7287,0.1136,0.0187,0.06797931288462346,5
California,0.7304,0.1132,0.0186,0.06710368827550318,6
California,0.735,0.1119,0.0182,0.06510112076248709,7
Mexico,0.432,0.1814,0.0521,-0.11021631756214058,2
Mexico,0.6043,0.1553,0.0363,-0.011847166750712566,3
Mexico,0.5535,0.1635,0.0409,0.053371605453711175,4
Mexico,0.5871,0.1566,0.0379,-0.053479741979870085,5
Mexico,0.6062,0.1547,0.0361,-0.010620907673559804,6
Mexico,0.6035,0.1553,0.0364,-0.009863715776404217,7
Chile,0.4821,0.1759,0.0427,0.01344209276543719,2
Chile,0.4705,0.1836,0.0436,-0.06372515312127604,3
Chile,0.4926,0.1788,0.0418,-0.026969510297803256,4
Chile,0.1769,0.2248,0.0678,-0.17525045923912874,5
Chile,0.47,0.1836,0.0437,-0.06406077767163659,6
Chile,0.4659,0.1846,0.044,-0.069506422710522,7
Iran,-0.7719,0.32,0.1419,-0.3084335093613465,2
Iran,0.8821,0.0788,0.0094,0.018962290121231674,3
Iran,0.8815,0.0794,0.0095,0.024120615607819685,4
Iran,0.8632,0.0771,0.011,-0.0318660163005827,5
Iran,0.8861,0.0763,0.0091,0.007757324463717266,6
Iran,0.8862,0.0762,0.0091,0.00676700779637315,7
Vietnam,0.437,0.1756,0.0505,0.007138400350812451,2
Vietnam,0.3847,0.1895,0.0552,-0.05827032032618918,3
Vietnam,0.4091,0.1781,0.053,0.013821535071275832,4
