,r²,MAE,MSE,MBD,Scenario
ArabianPeninsula,0.9695,0.0413,0.0027,-0.00028340968915366066,7
China,0.2818,0.2201,0.0661,0.21163068947916305,2
China,0.7747,0.1153,0.0208,0.008393962986014466,3
China,0.7549,0.1141,0.0226,-0.02156852247033342,4
China,0.7249,0.1313,0.0253,0.07424181513858348,5
China,0.7632,0.1222,0.0218,0.03765937233189282,6
China,0.7619,0.1226,0.0219,0.03861426111756213,7
Peru,0.5423,0.1612,0.0369,-0.09005988118097076,2
Peru,0.6337,0.1476,0.0295,0.008184420902281291,3
Peru,0.6262,0.1494,0.0302,-0.03385108215714415,4
Peru,0.6151,0.1517,0.0311,-0.03113537185578685,5
Peru,0.6339,0.1477,0.0295,-0.008935346878622952,6
Peru,0.6347,0.1476,0.0295,-0.007712102268119852,7
Nile,0.4415,0.1802,0.0461,0.08775729276172202,2
Nile,0.4252,0.1819,0.0474,0.07629284260111195,3
Nile,0.4847,0.1767,0.0425,0.041640962767585034,4
Nile,0.5038,0.1734,0.0409,0.016352011623536482,5
Nile,0.4907,0.1758,0.042,0.03194350855281142,6
Nile,0.49,0.1764,0.0421,0.02401366317183046,7
Java,0.6563,0.1569,0.0372,-0.11016938353098318,2
Java,0.7684,0.1348,0.0251,0.0351474037670658,3
Java,0.7769,0.1354,0.0242,0.003232688753287113,4
Java,0.778,0.1345,0.024,0.0026669926177173026,5
Java,0.7726,0.1354,0.0246,0.022612013572824895,6
Java,0.7724,0.1355,0.0246,0.022659266107164476,7
Japan,-0.0683,0.2245,0.0772,0.12965122205818924,2
Japan,-0.0213,0.2291,0.0738,-0.13629992077681688,3
Japan,0.0498,0.2215,0.0686,-0.12027670961359667,4
Japan,-0.0647,0.2187,0.0769,0.1049603602960138,5
Japan,0.1806,0.208,0.0592,-0.058786833213165544,6
Japan,0.1845,0.2076,0.0589,-0.06176789556175074,7
Spain,0.596,0.143,0.0343,0.09241956908349243,2
Spain,0.6724,0.1295,0.0278,0.043605473789806656,3
Spain,0.6925,0.1279,0.0261,0.020963178355758578,4
Spain,0.6723,0.1295,0.0278,0.04378778391115607,5
Spain,0.6731,0.1295,0.0278,0.042994039773237215,6
Spain,0.6683,0.1307,0.0282,0.04442039678738035,7
