,-5% population,-0.5K temperature,-5% precipitation,-5% EVI,-5% LWE thickness,-5% discharge,Model,Hotspot
0,0.7940762588026111,0.7940762588026111,0.7940762588026111,0.7940762588026111,0.7612571230341364,0.7940762588026111,0.7940762588026111,USHighPlain
1,0.6826167069102427,0.6820535903514819,0.6751506022130509,0.684767210386696,0.6531014102691707,0.682717229660792,0.6824073968413611,USHighPlain
2,0.5912114158131104,0.5902067444870353,0.5775418063079515,0.5937577766374386,0.5647509513771205,0.5912339439808479,0.5909198564643283,USHighPlain
3,0.5376587929549429,0.5351082683281422,0.5109774333003532,0.5391799759220157,0.5129842585915304,0.5368467938888193,0.536351893452632,USHighPlain
4,0.49336597317418485,0.4899547090152061,0.46010682576778894,0.494716957456403,0.470809467820952,0.4924152775214087,0.49167569654477805,USHighPlain
5,0.5272158788370755,0.5227589026342025,0.4925876397471094,0.5296506800589222,0.5062367113742905,0.5257335042737123,0.5248692988716155,USHighPlain
6,0.5302941393211189,0.5259820334310997,0.494891420925885,0.538174743361872,0.5112467375941945,0.5289563504782184,0.5278847856785163,USHighPlain
7,0.4808842907604589,0.4760831033626831,0.4437526271557166,0.49154486028223165,0.46314324730821654,0.4789680316842212,0.47800026295867015,USHighPlain
8,0.4345922189437047,0.42866277318531987,0.3952963809561446,0.4465603707526252,0.4178083835882753,0.43226380584701607,0.4310750187680247,USHighPlain
9,0.42486738082232844,0.4184389292520143,0.3823740895266383,0.43846438994155523,0.40925225360275874,0.4223769171754006,0.4210987517914573,USHighPlain
10,0.43648569885837474,0.42902335150904825,0.3876310812693573,0.4527272342503712,0.42107693425330894,0.43322616675884373,0.4316553150886435,USHighPlain
11,0.45173058701102575,0.44367844187105243,0.3914508626041502,0.4700201173993048,0.43682005988172734,0.44852693761258355,0.44626606994435747,USHighPlain
12,0.44143156994157395,0.43229476833688274,0.3623704983914081,0.4622995652026034,0.42675663601195046,0.43770972775740136,0.4351914907871979,USHighPlain
13,0.4773482515566101,0.4673898776784404,0.3897408812713268,0.5010121307733064,0.4629883466089597,0.4730457003646751,0.4705202859788935,USHighPlain
14,0.45754103640491917,0.44624162560940106,0.3735367712950348,0.48654372820398917,0.4424158875793273,0.45218189463204067,0.449141564806022,USHighPlain
15,0.3878752687480673,0.3754900901767202,0.3072294158687354,0.41401044295648926,0.3724854122916583,0.3813352280120694,0.3784911343156897,USHighPlain
16,0.4017870321308534,0.388831176192207,0.31283845405497246,0.4242333309367463,0.38647476897538313,0.3945159634211164,0.3918376039456335,USHighPlain
17,0.38258020224847583,0.36861920933444037,0.29051842929131355,0.4028539911352645,0.3667092961537476,0.3739683346579064,0.37149806240084654,USHighPlain
18,0.34628961517330437,0.3316463143539641,0.259251090513412,0.36854813012157295,0.33033848663279164,0.33699120325946796,0.3346146357771469,USHighPlain
19,0.3350730259067849,0.31956359239355836,0.2501690954035032,0.35774155253595163,0.31873629728951514,0.32478335042520423,0.32255470281637666,USHighPlain
20,0.3500749638304608,0.33432506266596884,0.26844263289469694,0.3728841875110418,0.333812532125888,0.33939761636915944,0.33722219354679805,USHighPlain
21,0.41153311397051073,0.3949798462510712,0.3326505928028485,0.4338885105256609,0.3950230609061314,0.40070622708943615,0.39806773254288097,USHighPlain
22,0.4892557749927162,0.471685772975321,0.41026862434028444,0.5075369395905307,0.47200133221196316,0.47747322077683707,0.4747200846718931,USHighPlain
23,0.5172055251351184,0.4980819131482519,0.42816101293872244,0.5341920414864272,0.4986584461912189,0.5035352640763389,0.5010861677389737,USHighPlain
24,0.43901684474514796,0.418589883467458,0.3451693576720557,0.45875792209875543,0.4197341209910521,0.4250168514381051,0.4219019652506156,USHighPlain
25,0.449758692363303,0.42850230236110365,0.35483946896585694,0.47180778652900734,0.4299237264882325,0.43474507536886353,0.4318595122203599,USHighPlain
26,0.5567819701797669,0.5347725088446149,0.46058867643907186,0.5754588985612457,0.5362445672901193,0.5408772636631696,0.5379731353752928,USHighPlain
27,0.5516374642624335,0.5293875022576064,0.4595366005697546,0.5761626086075746,0.5308914373971683,0.5351151187165935,0.5324349696050417,USHighPlain
28,0.5292908561735723,0.5063079794554546,0.4380032049187599,0.5590080689845123,0.5078352624716538,0.5123273678873237,0.509213566107581,USHighPlain
29,0.546514024895935,0.5221524043893684,0.4498689773503669,0.5750289819831031,0.5241108553724306,0.528407735353766,0.5253416174537918,USHighPlain
30,0.5897298501849231,0.5637002338360206,0.49260793407019143,0.6179322848655602,0.5660619186721634,0.5701488216692674,0.5671609328961935,USHighPlain
31,0.5875858882680081,0.5604326031228172,0.4961630890025326,0.6148467059667398,0.5631025472724874,0.5670415343518417,0.5640839166881626,USHighPlain
32,0.5818805968618275,0.5542846523168428,0.49492731456722217,0.6065593696004021,0.5569830976113166,0.560520337562278,0.557859415596075,USHighPlain
33,0.6452426501295936,0.6165029172849867,0.5580544521591155,0.6671402734181722,0.6192427412664747,0.6223260290699404,0.6200252531301469,USHighPlain
34,0.6492723824296869,0.6199628500829134,0.5593315892163793,0.6689591675021509,0.6224973822931338,0.6251096296438832,0.6231961295828594,USHighPlain
35,0.5962908765139625,0.5662994095105345,0.4997848967223507,0.6143050076497046,0.5689284103696713,0.5716459785485114,0.569552359727586,USHighPlain
36,0.5090902789378505,0.4777583959263543,0.4081995590089921,0.525114179336111,0.48067995735647995,0.48418148970441166,0.48123711558373405,USHighPlain
37,0.5063423036292192,0.4735947297708154,0.40318188561348656,0.524652214294784,0.4767869850192228,0.480317476749607,0.47728450182288507,USHighPlain
38,0.5358025195969299,0.5015319986072958,0.42768542081341143,0.5577141893293237,0.5049108059274163,0.5078251760795149,0.5053550656687582,USHighPlain
39,0.5667436936829195,0.5316679893798937,0.45663893678703427,0.5877357141685229,0.5352865705798586,0.5382743995871482,0.5356832742013733,USHighPlain
40,0.5552715448610547,0.5193946725375107,0.4482933512521614,0.5737623859474368,0.5231002269357716,0.5258418740354853,0.5234544651182534,USHighPlain
41,0.49121850332876915,0.4540641737989819,0.3856638623551354,0.5067462708466294,0.45778151189922245,0.46039683211941396,0.45809783038769225,USHighPlain
42,0.4767229677238074,0.43795589479592745,0.3724006580338963,0.4889643117132354,0.44194647769810147,0.44472790855399613,0.4422289356348681,USHighPlain
43,0.4372568192958588,0.3979359717515114,0.33735847027133725,0.4493267561496508,0.40180749348594924,0.4043836605593685,0.40205971549936503,USHighPlain
44,0.400791960835015,0.36053498998310096,0.30374181183385773,0.4106469319479489,0.3643232033182542,0.3670112051092538,0.36454842603558957,USHighPlain
45,0.3472396637341686,0.3069789616339288,0.2541392615012492,0.35438512191452765,0.31038387552040736,0.31322540218094785,0.31058498910171994,USHighPlain
46,0.35666497826093946,0.3155192048714235,0.26574382443331857,0.36148745526444537,0.31914962424037085,0.3225070177996676,0.31932920946635046,USHighPlain
47,0.37795791609977614,0.3354427026121194,0.28297928839223074,0.3804281074992335,0.3391210147516701,0.34261476474272523,0.3392813761413864,USHighPlain
48,0.31252440807128357,0.2687977013665038,0.21704608640747824,0.3151190187302407,0.27229811535939047,0.2759726348730166,0.2724413107429276,USHighPlain
49,0.2368122447158315,0.19230589140316257,0.1451737273760405,0.2363976802964236,0.19576390922669074,0.1991251746029783,0.19589177615215592,USHighPlain
50,0.21519970728371018,0.16942295344041303,0.1178674674949951,0.20938701938055515,0.1728940500355889,0.1759904049601222,0.17300822934936333,USHighPlain
51,0.28317740635678,0.23648086719619488,0.17968783140171185,0.27346808468504125,0.23995832837665887,0.24291042349476122,0.24006028527948242,USHighPlain
52,0.3824404565934829,0.33493403465539284,0.2778360690696553,0.3712468787657639,0.3386150457629533,0.3416059908945259,0.338706088612045,USHighPlain
53,0.39368945950628653,0.34542789306889,0.2875137395182398,0.3858355522606507,0.3487993460114427,0.35154389486800053,0.3488806431099343,USHighPlain
54,0.3435611271018053,0.29377971427317284,0.23618577291306275,0.3367953395487038,0.29719700767195245,0.30008477675881884,0.2972696022610837,USHighPlain
55,0.388989683737365,0.33803227822615645,0.28301995853437045,0.38286254709759415,0.3417279645897797,0.34511905218251293,0.34179278823624326,USHighPlain
56,0.4824252823357795,0.42998488715939587,0.37609577886101997,0.4730243175958977,0.43362946246965417,0.4371560392408842,0.4336873470198819,USHighPlain
57,0.5292225598355103,0.47720898719686766,0.4220301197261538,0.5158837055369028,0.4806266837384987,0.4835894507803469,0.48067837199329233,USHighPlain
58,0.6044228490056169,0.5512891073526824,0.49830199328301483,0.5868544868169643,0.5546449980980868,0.5571894652507154,0.5546911533445749,USHighPlain
59,0.6683691892843222,0.6145873251549112,0.5548350289594928,0.6503233514436235,0.6177451990222,0.6197330639282757,0.6177864135454392,USHighPlain
60,0.7222158797053946,0.6679000639022501,0.5969336486499599,0.7050652541075846,0.6709409807499291,0.6726160173529361,0.6709777834333743,USHighPlain
61,0.774798275320193,0.719175863121333,0.6427087463415941,0.7542870603491347,0.7225235245467214,0.7238892250889339,0.7225563876590981,USHighPlain
62,0.7679622376600813,0.7120933703540278,0.6322536537081287,0.7503691700843867,0.7153179401344529,0.7164259640440849,0.715347285390124,USHighPlain
63,0.7221263357185825,0.6650853137330555,0.5792290248426682,0.7111131199671161,0.6684194646111357,0.6693449636098457,0.6684456685817314,USHighPlain
64,0.6718537027651914,0.6134567890040439,0.5238561361944707,0.6637270494184994,0.6168840369648678,0.6174493960592121,0.6169074359116236,USHighPlain
65,0.6512965535012374,0.5912022380979176,0.4991837138251425,0.6420148058181787,0.5948853047171587,0.5953648357245807,0.5949061989059719,USHighPlain
66,0.6081006908993337,0.5471843044680029,0.4585152617405742,0.5988588977946094,0.5508207946094501,0.5512199214940025,0.5508394521640279,USHighPlain
67,0.6053420480915164,0.5434939065750362,0.4628148814117534,0.5955335784328062,0.5473911443591377,0.5481766959200234,0.5474078047016824,USHighPlain
68,0.6327024813832319,0.5701494223770369,0.4944941874804323,0.6168705633871397,0.5738384336039316,0.5748634762631253,0.573853310527515,USHighPlain
69,0.6310099177899158,0.5672898296896307,0.4935951715925291,0.6098494797980585,0.5709118540206772,0.5718482716326068,0.5709251384327303,USHighPlain
70,0.6295374834539917,0.5646929829981708,0.4891633945445688,0.6073751133422318,0.5684421549036902,0.5693777833243787,0.5684540172758132,USHighPlain
