,r²,MAE,MSE,MBD,Scenario
USHighPlain,0.627,0.0923,0.0112,-0.09225607429085915,2
USHighPlain,0.9985,0.0067,0.0,0.0066539986316458905,3
USHighPlain,0.2805,0.1451,0.0216,0.1451121626360862,4
USHighPlain,0.8208,0.0724,0.0054,-0.07237187182247473,5
USHighPlain,0.9996,0.0011,0.0,0.0010734270693206554,6
USHighPlain,0.9996,0.0029,0.0,-0.00252633283533608,7
Greece,0.2109,0.1755,0.0393,0.17549338855285984,2
Greece,0.9795,0.0311,0.001,-0.031075083500440994,3
Greece,0.8773,0.0758,0.0061,0.07580356336426787,4
Greece,0.9993,0.0056,0.0,-0.005630111429112142,5
Greece,1.0,0.0,0.0,9.285045410408987e-07,6
Greece,0.9999,0.0021,0.0,0.0011450211049439966,7
Sudan,0.5038,0.1739,0.0343,0.17393913230590968,2
Sudan,0.9989,0.0084,0.0001,-0.008422030133599177,3
Sudan,0.9965,0.0098,0.0002,0.009804796154229458,4
Sudan,0.9557,0.0493,0.0031,0.04927224925332618,5
Sudan,1.0,0.0,0.0,-9.186166893484349e-07,6
Sudan,1.0,0.0004,0.0,-0.0003523343556280574,7
Indus,0.4688,0.2008,0.0448,-0.2008026455547914,2
Indus,1.0,0.0015,0.0,-0.0014880997824656213,3
Indus,0.9755,0.0425,0.0021,0.042539270616454745,4
Indus,0.9623,0.0547,0.0032,0.05465440264840629,5
Indus,1.0,0.0,0.0,1.2954733611306492e-05,6
Indus,0.9999,0.0022,0.0,-0.0008367192333782298,7
Ganges,0.0318,0.2584,0.0751,-0.25840912822319895,2
Ganges,0.9671,0.0489,0.0026,-0.04889993968134328,3
Ganges,0.8015,0.1172,0.0154,0.11721522527293568,4
Ganges,0.8634,0.0985,0.0106,0.09851365993412556,5
Ganges,1.0,0.0001,0.0,-0.00010040122502364923,6
Ganges,0.9998,0.0035,0.0,0.003331377802779304,7
Turkey,-1.1896,0.3509,0.1711,-0.3508802074238354,2
Turkey,0.9908,0.0263,0.0007,0.026264285037864706,3
Turkey,0.8744,0.0953,0.0098,0.09526324582517305,4
Turkey,0.9826,0.0358,0.0014,-0.035751516471603045,5
Turkey,1.0,0.0002,0.0,0.00020332373331047508,6
Turkey,0.9998,0.0032,0.0,0.0008039567267570172,7
Italy,0.5745,0.1168,0.0193,-0.1167877979566525,2
Italy,0.9226,0.0574,0.0035,-0.057365350523764104,3
Italy,0.8285,0.0864,0.0078,0.08642211698349783,4
Italy,0.9999,0.0022,0.0,-0.0021718299386051334,5
Italy,1.0,0.0,0.0,4.761329523220493e-06,6
Italy,0.9999,0.0014,0.0,-0.0005064848396464588,7
California,-0.3415,0.2251,0.0642,-0.22511131983743202,2
California,0.9999,0.0022,0.0,0.002235473927153356,3
California,0.9703,0.035,0.0014,0.035046012662118674,4
California,0.9999,0.0017,0.0,0.0016761215719015904,5
California,1.0,0.0001,0.0,0.00014982624287142857,6
California,0.9996,0.0038,0.0,-0.003340658323087768,7
Mexico,0.3043,0.1711,0.0334,-0.17107869160796804,2
Mexico,0.9998,0.003,0.0,-0.0029843830682674097,3
Mexico,0.6829,0.1195,0.0152,0.119523446903899,4
Mexico,0.8872,0.0718,0.0054,-0.07180204346533782,5
Mexico,0.9998,0.0009,0.0,-0.0008624021350464855,6
Mexico,0.9999,0.002,0.0,0.0006948246249980629,7
Chile,0.329,0.1317,0.0196,0.13165244421504171,2
Chile,1.0,0.0006,0.0,0.0006324225905021259,3
Chile,0.8295,0.0679,0.005,0.06785933797179032,4
Chile,-0.0408,0.167,0.0304,-0.16699485436381134,5
Chile,1.0,0.0,0.0,9.804471954083903e-06,6
Chile,0.9956,0.0104,0.0001,-0.010295206785612784,7
Iran,-1.7339,0.3469,0.168,-0.34685356827911973,2
Iran,0.9928,0.0207,0.0004,0.020720626510714966,3
Iran,0.9853,0.0289,0.0009,0.02891494021570911,4
Iran,0.9412,0.056,0.0036,-0.05604933777776855,5
Iran,1.0,0.0002,0.0,0.00019207620198698173,6
Iran,0.9999,0.0019,0.0,-0.0017148037419103999,7
Vietnam,0.7791,0.0941,0.0105,0.09414556397502225,2
Vietnam,0.9951,0.0144,0.0002,-0.014437639632809767,3
Vietnam,0.6643,0.1189,0.0159,0.11885759153055786,4
Vietnam,0.6616,0.1218,0.0161,0.1217502645477078,5
Vietnam,1.0,0.0001,0.0,-0.00011642056570832853,6
Vietnam,0.9999,0.002,0.0,-0.0002925892974556842,7
Thailand,-2.1487,0.3504,0.1681,-0.3503595803930488,2
Thailand,0.9921,0.0198,0.0004,0.01980713261461855,3
Thailand,0.8675,0.0818,0.0071,0.08175668317962942,4
Thailand,0.9971,0.0121,0.0002,-0.012126586254579857,5
Thailand,1.0,0.0,0.0,-3.064226284401849e-05,6
Thailand,1.0,0.0008,0.0,0.0003214886741549221,7
Australia,0.2855,0.1398,0.0248,0.1398114863066092,2
Australia,0.9837,0.0236,0.0006,-0.02359834557700724,3
Australia,0.3796,0.145,0.0215,0.14501320734292736,4
Australia,0.9965,0.0108,0.0001,0.010809386122908075,5
Australia,0.9996,0.0014,0.0,0.00139846736430749,6
Australia,0.9989,0.0059,0.0,0.005892851220463904,7
ArabianPeninsula,0.8826,0.0938,0.0093,-0.09378569894225114,2
ArabianPeninsula,0.9999,0.0031,0.0,-0.003081983160390242,3
ArabianPeninsula,1.0,0.0009,0.0,0.0009349631355647238,4
ArabianPeninsula,0.9992,0.007,0.0001,-0.0070327177296679476,5
ArabianPeninsula,1.0,0.0,0.0,7.659970658750705e-07,6
ArabianPeninsula,0.9997,0.004,0.0,-0.003955888128365855,7
China,0.0771,0.2315,0.0712,-0.2314681726366826,2
China,0.9605,0.0548,0.003,0.054753569139072755,3
China,0.8425,0.1079,0.0121,0.10785345846805927,4
China,0.9525,0.0591,0.0037,-0.05912237594663659,5
China,1.0,0.0,0.0,3.6782238457682604e-05,6
China,0.9998,0.0031,0.0,-0.00183779101165888,7
Peru,0.6634,0.1316,0.0196,0.13159401389078884,2
Peru,0.9845,0.0269,0.0009,-0.026920187766874548,3
Peru,0.9511,0.0469,0.0028,0.04693607871587962,4
