,r²,MAE,MSE,MBD,Scenario
Peru,0.9719,0.0377,0.0016,0.03773841123309899,5
Peru,1.0,0.0,0.0,3.8907396767939085e-07,6
Peru,0.9999,0.0024,0.0,-0.002348436070166586,7
Nile,0.6723,0.0896,0.0093,-0.0896201399677751,2
Nile,0.7577,0.0797,0.0068,-0.07972024207721107,3
Nile,0.9836,0.0188,0.0005,-0.01879342138400137,4
Nile,0.9776,0.0246,0.0006,0.024591635727877575,5
Nile,1.0,0.0001,0.0,-0.00011776267431505012,6
Nile,0.9925,0.0122,0.0002,0.012196602674337309,7
Java,0.0604,0.1992,0.0483,0.19918200019940022,2
Java,0.9944,0.0155,0.0003,-0.015471721231324885,3
Java,0.9728,0.0344,0.0014,0.03435817362637451,4
Java,0.9792,0.0311,0.0011,0.03109871905579544,5
Java,1.0,0.0,0.0,3.5925714335584187e-05,6
Java,1.0,0.0003,0.0,-3.173240418677876e-05,7
Japan,-0.032,0.1745,0.0393,-0.17451392786714115,2
Japan,0.448,0.144,0.021,0.14400614883734542,3
Japan,0.6805,0.1093,0.0122,0.10929095502030829,4
Japan,-0.7563,0.2523,0.0668,-0.25230745240919933,5
Japan,0.9999,0.0007,0.0,-0.0006619589222862102,6
Japan,0.9982,0.0063,0.0001,0.004815549650663554,7
Spain,0.887,0.0737,0.0067,-0.07374286946771919,2
Spain,1.0,0.0012,0.0,-0.0011797977952998447,3
Spain,0.9695,0.0406,0.0018,0.04064163140775396,4
Spain,1.0,0.0011,0.0,-0.0011195152942631641,5
Spain,1.0,0.0,0.0,1.0212181782893402e-05,6
Spain,0.9989,0.0066,0.0001,-0.002786519472975422,7
