,+10% population,1K temperature,+10% precipitation,+10% EVI,+10% LWE thickness,+10% discharge,Model,Hotspot
0,0.7940762588026111,0.7940762588026111,0.7940762588026111,0.7940762588026111,0.8431274029285063,0.7940762588026111,0.7940762588026111,USHighPlain
1,0.6634020820212392,0.6835077243635517,0.7030376213083773,0.6748199423289829,0.7262078241665949,0.6819285390395924,0.6824073968413611,USHighPlain
2,0.5549029167499621,0.5925400032653039,0.6190034100310404,0.5787685924677108,0.6300316339378386,0.590376331219323,0.5909198564643283,USHighPlain
3,0.4852412477732221,0.5386074253156985,0.5836153038929827,0.5245777107269305,0.5712769211419415,0.5356221485944482,0.536351893452632,USHighPlain
4,0.42694239968143033,0.49452530064008027,0.5589851154775383,0.47906902180190325,0.5228621482452961,0.49021068958759173,0.49167569654477805,USHighPlain
5,0.4480932057480014,0.5285989019916055,0.5971136754772375,0.5010275726393112,0.5527173732760478,0.5231504093800607,0.5248692988716155,USHighPlain
6,0.44020776229473113,0.5315294408130853,0.5982932441218882,0.49573228822849824,0.5527518419079979,0.5259431646114615,0.5278847856785163,USHighPlain
7,0.38064426741998025,0.4820596108079924,0.5513131391239353,0.4385477621148621,0.500205406357087,0.4757662285126105,0.47800026295867015,USHighPlain
8,0.32510015486716104,0.4353846739809957,0.5060008466244927,0.390692626521687,0.45090319580651506,0.42827122896678005,0.4310750187680247,USHighPlain
9,0.3073082046874831,0.42607940560734825,0.5046629549270103,0.37943034281284094,0.4388044066307657,0.418147142592741,0.4210987517914573,USHighPlain
10,0.31131036147971836,0.4369505574963879,0.5358534781277238,0.38837835195104087,0.4474656547219935,0.42836106332990287,0.4316553150886435,USHighPlain
11,0.3199542799222008,0.4518594106666747,0.5768607539115043,0.39775052512765563,0.4603839798206373,0.44223750599377887,0.44626606994435747,USHighPlain
12,0.3036107055929531,0.44098303281764384,0.5945588382389848,0.38696370993632645,0.447798138329059,0.4309810075429299,0.4351914907871979,USHighPlain
13,0.3341447368779922,0.4768422884878689,0.6364102420571416,0.42466256312387207,0.48177744540528544,0.4655871007701877,0.4705202859788935,USHighPlain
14,0.3084907824383416,0.45519396259186745,0.6015068416468575,0.3984352795755535,0.45919369309234165,0.443569465543071,0.449141564806022,USHighPlain
15,0.2343824134051964,0.3845842879591922,0.5258428915213942,0.32135019798263253,0.38746722493120767,0.3724795442732828,0.3784911343156897,USHighPlain
16,0.24447209887743582,0.3977298014362409,0.5411034207454744,0.3372764020977934,0.39985284215619643,0.3862467180675502,0.3918376039456335,USHighPlain
17,0.22106225788435807,0.37725942468591617,0.5136469694612095,0.30992945243802167,0.37865530337845016,0.36624790024047665,0.37149806240084654,USHighPlain
