,+5% population,0.5K temperature,+5% precipitation,+5% EVI,+5% LWE thickness,+5% discharge,Model,Hotspot
0,0.7940762588026111,0.7940762588026111,0.7940762588026111,0.7940762588026111,0.8244089763367021,0.7940762588026111,0.7940762588026111,USHighPlain
1,0.6726791303822565,0.6829133184049963,0.6882262472779724,0.6802017807227856,0.709493125698548,0.6821377143702769,0.6824073968413611,USHighPlain
2,0.5724695944222151,0.5917677022125756,0.5991187386338709,0.5866637081201483,0.6151061730019256,0.5905812331691848,0.5909198564643283,USHighPlain
3,0.5098818214678656,0.5374996234343906,0.5553542379487013,0.5318991435316583,0.5579491674540525,0.5359603987144949,0.536351893452632,USHighPlain
4,0.4580324585380231,0.4933030047315461,0.521994313224562,0.487189702593394,0.5109610740253613,0.4906071387767663,0.49167569654477805,USHighPlain
5,0.48496033076873224,0.5269651716829269,0.5581243972680405,0.5160153589406953,0.5420902585419944,0.523653498676834,0.5248692988716155,USHighPlain
6,0.48224301748842224,0.5298694478108394,0.5612020549332665,0.5138539933183939,0.5432623147036755,0.526450056676546,0.5278847856785163,USHighPlain
7,0.427284658255041,0.48010380351110316,0.5129381791549388,0.4605871523303402,0.49173169276547424,0.4765070199179582,0.47800026295867015,USHighPlain
8,0.37570976126067057,0.433183080645295,0.4668518640663113,0.4122487340128502,0.44333655729158705,0.4294165180426589,0.4310750187680247,USHighPlain
9,0.3616048808982564,0.423636578034184,0.46345050550425726,0.4014820116600595,0.43204774465528173,0.41925226185702025,0.4210987517914573,USHighPlain
10,0.36870557664951065,0.43427154427580605,0.48364601841491917,0.41126067933684674,0.4414322647350284,0.429621924595047,0.4316553150886435,USHighPlain
11,0.38015553079194,0.44896684264459363,0.5145172761349086,0.42235765272817316,0.4549964386254597,0.4439144556692838,0.44626606994435747,USHighPlain
12,0.36625141454348875,0.43802672914890384,0.519916856209125,0.4099105948920514,0.44298731055355556,0.432593790420049,0.4351914907871979,USHighPlain
13,0.39895566234620095,0.473556283665602,0.5565451376596633,0.4453815790114817,0.4774815963255099,0.4679671551500417,0.4705202859788935,USHighPlain
14,0.37520350922392076,0.4520563641753876,0.5279677236086036,0.41983961811349774,0.45535769642453816,0.44632399401721384,0.449141564806022,USHighPlain
15,0.30257419300188204,0.38143031943255057,0.45421696246801235,0.34876084823805964,0.38404185542633484,0.37504723789971406,0.3784911343156897,USHighPlain
16,0.31419656764252557,0.39481075913729846,0.4692426122518478,0.36438501241575083,0.39679414391920576,0.3886007132472493,0.3918376039456335,USHighPlain
17,0.2920884695796525,0.3743500102932801,0.44625467400783714,0.34223484954295225,0.37592402580630474,0.36844028961657843,0.37149806240084654,USHighPlain
18,0.2538882446827331,0.33740554751639795,0.4069396266322609,0.3015187576614917,0.33856681858428694,0.3316250802470062,0.3346146357771469,USHighPlain
19,0.24030695007967307,0.3255501356768442,0.395342514129422,0.28630546269755164,0.3260838212274757,0.3192959569492575,0.32255470281637666,USHighPlain
20,0.2539577437523324,0.34033767275360716,0.407391241482876,0.3012022472097653,0.3403735348099244,0.33349409512427974,0.33722219354679805,USHighPlain
21,0.31376047538196294,0.4014023456100486,0.46545796317055466,0.3620244886186075,0.4008817360984005,0.3944234454145925,0.39806773254288097,USHighPlain
22,0.38931114001027445,0.47802933940774484,0.5407255732930001,0.4417117979511693,0.47723286108970964,0.47091802508376857,0.4747200846718931,USHighPlain
23,0.41505950772914635,0.5044276165983189,0.5714281186602443,0.4669978585458876,0.5033299621057402,0.49781846948950315,0.5010861677389737,USHighPlain
24,0.3349562580399824,0.42546803860486554,0.49391440769915473,0.38612406603341204,0.4239055709533099,0.4186473902702995,0.4219019652506156,USHighPlain
25,0.3439938237830642,0.43533430490840885,0.5019496224500204,0.39122837066688354,0.433648640436086,0.4285723265678252,0.4318595122203599,USHighPlain
