Coefficient;Value;Std Error;t-value;p-value;Significance;Hotspot
alpha_1;0.2705;0.1053;2.5687;0.0116;**;Spain
alpha_2;0.2358;0.0838;2.8149;0.0058;***;Spain
alpha_3;-0.0418;0.042;-0.9941;0.3224;;Spain
alpha_4;-0.1774;0.0544;-3.2608;0.0015;***;Spain
alpha_5;0.1246;0.0246;5.064;0.0;***;Spain
alpha_6;-0.0554;0.0327;-1.6925;0.0935;;Spain
alpha_7;-0.0021;0.0184;-0.1135;0.9098;;Spain
alpha_8;-0.1631;0.049;-3.3267;0.0012;***;Spain
alpha_9;0.4985;0.0443;11.2473;0.0;***;Spain
alpha_10;0.5428;0.0871;6.235;0.0;***;Spain
alpha_11;1.3253;0.0671;19.7432;0.0;***;Spain
alpha_12;0.5662;0.0996;5.6828;0.0;***;Spain
alpha_13;0.7034;0.0538;13.0809;0.0;***;Spain
alpha_14;0.6568;0.006;110.1092;0.0;***;Spain
alpha_15;1.0557;0.0499;21.1599;0.0;***;Spain
alpha_16;1.054;0.1071;9.8392;0.0;***;Spain
alpha_17;1.3955;0.0408;34.1839;0.0;***;Spain
alpha_18;0.5216;0.0334;15.6304;0.0;***;Spain
alpha_19;0.1984;0.0119;16.7366;0.0;***;Spain
alpha_20;0.6914;0.0815;8.4856;0.0;***;Spain
alpha_21;-0.1123;0.0809;-1.3869;0.1684;;Spain
