Coefficient;Value;Std Error;t-value;p-value;Significance;Hotspot
alpha_18;0.6943;0.0402;17.2797;0.0;***;Iran
alpha_19;0.0562;0.0129;4.3615;0.0;***;Iran
alpha_20;0.3703;0.1042;3.5526;0.0006;***;Iran
alpha_21;0.3238;0.1207;2.6836;0.0084;***;Iran
alpha_0;-0.0216;0.0371;-0.5809;0.5626;;Vietnam
alpha_1;-0.6277;0.1116;-5.622;0.0;***;Vietnam
alpha_2;0.3617;0.0751;4.8158;0.0;***;Vietnam
alpha_3;0.3316;0.0583;5.6905;0.0;***;Vietnam
alpha_4;0.436;0.0518;8.4122;0.0;***;Vietnam
alpha_5;0.1254;0.0423;2.9643;0.0037;***;Vietnam
alpha_6;-0.1984;0.0572;-3.4667;0.0008;***;Vietnam
alpha_7;0.1821;0.0275;6.61;0.0;***;Vietnam
alpha_8;-0.3565;0.0546;-6.5248;0.0;***;Vietnam
alpha_9;0.509;0.0497;10.2421;0.0;***;Vietnam
alpha_10;1.2943;0.1493;8.6712;0.0;***;Vietnam
alpha_11;1.8801;0.1111;16.928;0.0;***;Vietnam
alpha_12;0.5436;0.1121;4.847;0.0;***;Vietnam
alpha_13;0.6189;0.0666;9.2935;0.0;***;Vietnam
alpha_14;0.7102;0.0048;146.937;0.0;***;Vietnam
alpha_15;0.8746;0.0498;17.562;0.0;***;Vietnam
alpha_16;-0.4239;0.1137;-3.7273;0.0003;***;Vietnam
