,r²,MAE,MSE,MBD,Scenario
ArabianPeninsula,0.9697,0.0404,0.0027,-0.00661470505476173,7
China,0.0439,0.2318,0.0881,-0.21791914682631072,2
China,0.6799,0.1407,0.0295,0.09297127032622796,3
China,0.5727,0.1631,0.0394,0.14604745898265636,4
China,0.7588,0.1142,0.0222,-0.02375324389695208,5
China,0.7623,0.1223,0.0219,0.037794640013011555,6
China,0.7634,0.1219,0.0218,0.03639275619355176,7
Peru,0.4034,0.1729,0.0481,0.12807953366169247,2
Peru,0.6095,0.1512,0.0315,-0.036001935203397895,3
Peru,0.6365,0.1443,0.0293,0.03565015810872452,4
Peru,0.6233,0.1463,0.0304,0.02980777191081717,5
Peru,0.6339,0.1477,0.0295,-0.00893457601423267,6
Peru,0.6327,0.148,0.0296,-0.011239795330597654,7
Nile,0.3904,0.1862,0.0503,-0.06244915291555901,2
Nile,0.4641,0.1734,0.0442,-0.05013665118970908,3
Nile,0.4786,0.1774,0.043,0.012749557057101993,4
Nile,0.4658,0.1773,0.0441,0.05664035912285518,5
Nile,0.4923,0.1756,0.0419,0.0317520894479191,6
Nile,0.4644,0.1801,0.0442,0.04299237907113988,7
Java,0.0627,0.2654,0.1015,0.2369426616237701,2
Java,0.7798,0.134,0.0238,0.007062859223378569,3
Java,0.7442,0.1357,0.0277,0.05799570662151624,4
Java,0.7429,0.1394,0.0278,0.05478670303040404,5
Java,0.7727,0.1354,0.0246,0.022679754953439487,6
Java,0.7728,0.1353,0.0246,0.02257646218694546,7
Japan,-0.6365,0.2922,0.1182,-0.24638640659733818,2
Japan,0.113,0.2002,0.0641,0.08484938973026446,3
Japan,0.1831,0.1994,0.059,0.049742421071399714,4
Japan,-1.2821,0.344,0.1648,-0.3184444298975943,5
Japan,0.1775,0.2089,0.0594,-0.05976514955362629,6
Japan,0.1683,0.2088,0.0601,-0.05387711878293676,7
Spain,0.6226,0.1455,0.0321,-0.0365205972404791,2
Spain,0.6743,0.1294,0.0277,0.04179292614984039,3
Spain,0.6072,0.1372,0.0334,0.08274536011541658,4
Spain,0.674,0.1295,0.0277,0.041856932724510694,5
Spain,0.673,0.1295,0.0278,0.043014125019831755,6
Spain,0.6808,0.1273,0.0271,0.040239106685356164,7
