-10% population,-1K temperature,-10% precipitation,-10% EVI,-10% LWE thickness,-10% discharge,Model,Hotspot
0.7940762588026111,0.7940762588026111,0.7940762588026111,0.7940762588026111,0.7166741880355256,0.7940762588026111,0.7940762588026111,USHighPlain
0.6826167069102427,0.6818157744184137,0.6708650207163108,0.6850444803680975,0.6132908892476768,0.6828386876694633,0.6824073968413611,USHighPlain
0.5912114158131104,0.5894012039435589,0.5707580265474314,0.5946424288959702,0.5292019776711007,0.5913798214106181,0.5909198564643283,USHighPlain
0.5376587929549429,0.5338080463417377,0.5009871190740018,0.5399699299108252,0.4812406516473009,0.5372897352379079,0.536351893452632,USHighPlain
0.49336597317418485,0.48821915599810883,0.4436502746074208,0.49549433676820365,0.4424638792770246,0.4929571464905077,0.49167569654477805,USHighPlain
0.5272158788370755,0.52075170559916,0.4670839381479266,0.5322677438515622,0.48092539778244636,0.5263195022199294,0.5248692988716155,USHighPlain
0.5302941393211189,0.5241459102449715,0.46661942495495445,0.5436843093090453,0.4886448926985829,0.5297425685547152,0.5278847856785163,USHighPlain
0.4808842907604589,0.47421910771060793,0.41475239325488533,0.498864082186667,0.44296083398416497,0.47968099884224547,0.47800026295867015,USHighPlain
0.4345922189437047,0.4264567980469449,0.36511363601863,0.4586594894624052,0.3997864119543606,0.4336087347508045,0.4310750187680247,USHighPlain
0.42486738082232844,0.41599108153154485,0.3490048389707616,0.4545816517780561,0.39315945754518467,0.4239313143846546,0.4210987517914573,USHighPlain
0.43648569885837474,0.42662736618501773,0.34707832000185035,0.4711185732591179,0.4067068037142443,0.4350990872896032,0.4316553150886435,USHighPlain
0.45173058701102575,0.44132939412285443,0.34037595329394055,0.49097345812687143,0.4239881908285825,0.4510410076775673,0.44626606994435747,USHighPlain
0.44143156994157395,0.42958842089452554,0.3020165180252361,0.48858668419665485,0.4152983640811949,0.4400077775253709,0.4351914907871979,USHighPlain
0.4773482515566101,0.46472383132887196,0.32278303400749575,0.5331127911544122,0.4527566340583269,0.475886730411186,0.4705202859788935,USHighPlain
0.45754103640491917,0.44384270323609953,0.30738235276343906,0.5217402112663132,0.4332794364328171,0.45543591926398697,0.449141564806022,USHighPlain
0.3878752687480673,0.37268070404745357,0.24532092646742765,0.4460152041340104,0.36432697946435955,0.38500708774705594,0.3784911343156897,USHighPlain
0.4017870321308534,0.385876755654883,0.24710913269935864,0.4531623322912308,0.3791896617570327,0.3981428094949657,0.3918376039456335,USHighPlain
0.38258020224847583,0.3658194888489354,0.22485637082469323,0.4306837757210229,0.3602040287443899,0.3772880434299552,0.37149806240084654,USHighPlain
0.34628961517330437,0.3287522352975676,0.19543038107431365,0.39701037746628653,0.324529580490593,0.34040457040023275,0.3346146357771469,USHighPlain
0.3350730259067849,0.316774813204886,0.18591721144079987,0.3871857695900359,0.3135492098962538,0.3281581468027115,0.32255470281637666,USHighPlain
0.3500749638304608,0.3312070164400056,0.20451317714964046,0.40389764948712803,0.32918070042355185,0.34254695775190647,0.33722219354679805,USHighPlain
0.41153311397051073,0.3918334230706231,0.2680253728915123,0.46619647756068905,0.39088704712956823,0.4036281400152908,0.39806773254288097,USHighPlain
0.4892557749927162,0.46866569633478594,0.34391656651468683,0.5374768790282598,0.46830806115652024,0.48032802050911005,0.4747200846718931,USHighPlain
0.5172055251351184,0.49490865173162235,0.3580324908010557,0.5631749399513457,0.4953605241276453,0.5060751413811995,0.5010861677389737,USHighPlain
0.43901684474514796,0.41518364025854104,0.2761059449786712,0.4907011936430824,0.4167892274876694,0.4276792200324926,0.4219019652506156,USHighPlain
0.449758692363303,0.4250454371914234,0.28780376573384236,0.5028738357204348,0.427294071335961,0.4378078036320996,0.4318595122203599,USHighPlain
0.5567819701797669,0.5315775095068627,0.39459942871678866,0.6035934543828945,0.533896405561376,0.5439620143401429,0.5379731353752928,USHighPlain
0.5516374642624335,0.5264179599432579,0.39546877261227853,0.6053113755685271,0.528794636415651,0.5380327098260854,0.5324349696050417,USHighPlain
0.5292908561735723,0.5034987414785816,0.3636487764697389,0.5892473223930823,0.5059629151361724,0.5150491224948233,0.509213566107581,USHighPlain
0.546514024895935,0.5190705482047702,0.3628969983578898,0.6043998339506438,0.5224389348727811,0.5308943333682705,0.5253416174537918,USHighPlain
